Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,3,3,0,0
Mar 02,4,4,0,0
Mar 03,5,5,0,0
Mar 04,8,8,0,0
Mar 05,12,12,0,0
Mar 06,19,19,0,0
Mar 07,26,26,0,0
Mar 08,32,32,0,0
Mar 09,38,38,0,0
Mar 10,63,63,0,0
Mar 11,94,94,0,0
Mar 12,116,116,0,0
Mar 13,141,141,0,0
Mar 14,189,189,0,0
Mar 15,293,293,0,0
Mar 16,344,341,0,3
Mar 17,434,431,0,3
Mar 18,522,519,0,3
Mar 19,694,691,0,3
Mar 20,833,829,0,4
Mar 21,995,989,0,6
Mar 22,1120,1113,1,7
Mar 23,1236,1228,1,8
Mar 24,1394,1381,3,13
Mar 25,1654,1638,6,16
Mar 26,1925,1906,9,19
Mar 27,2279,2259,9,20
Mar 28,2631,2609,11,22
Mar 29,2817,2790,16,27
Mar 30,3001,2953,23,48
Mar 31,3308,3232,31,76
Apr 01,3589,3489,39,100
Apr 02,3858,3747,44,111
Apr 03,4190,4065,53,125
Apr 04,4472,4335,59,137
Apr 05,4587,4424,67,163
Apr 06,4822,4623,78,199
Apr 07,5017,4757,88,260
Apr 08,5312,4980,99,332
Apr 09,5569,5156,112,413
Apr 10,5732,5267,119,465
Apr 11,5902,5362,129,540
Apr 12,5991,5389,138,602
