Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,1,1,0,0
Feb 25,1,1,0,0
Feb 26,1,1,0,0
Feb 27,1,1,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,4,4,0,0
Mar 08,4,4,0,0
Mar 09,4,4,0,0
Mar 10,5,5,0,0
Mar 11,7,7,0,0
Mar 12,7,7,0,0
Mar 13,7,7,0,0
Mar 14,11,11,0,0
Mar 15,16,15,0,1
Mar 16,21,20,0,1
Mar 17,22,21,0,1
Mar 18,22,21,0,1
Mar 19,22,21,0,1
Mar 20,24,23,0,1
Mar 21,24,23,0,1
Mar 22,40,38,1,2
Mar 23,40,38,1,2
Mar 24,74,72,1,2
Mar 25,84,80,2,4
Mar 26,94,88,4,6
Mar 27,110,104,4,6
Mar 28,110,104,4,6
Mar 29,120,114,4,6
Mar 30,170,164,4,6
Mar 31,174,165,4,9
Apr 01,237,228,4,9
Apr 02,273,257,6,16
Apr 03,281,265,6,16
Apr 04,309,292,7,17
Apr 05,349,327,7,22
Apr 06,367,338,11,29
Apr 07,423,391,14,32
Apr 08,444,401,14,43
Apr 09,484,437,15,47
Apr 10,521,474,15,47
Apr 11,555,505,18,50
Apr 12,607,557,18,50
Apr 13,665,612,21,53
