Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,5,5,0,0
Mar 16,14,14,0,0
Mar 17,39,38,0,1
Mar 18,53,52,0,1
Mar 19,74,73,0,1
Mar 20,75,74,0,1
Mar 21,88,87,0,1
Mar 22,113,111,1,2
Mar 23,133,131,1,2
Mar 24,164,162,1,2
Mar 25,188,186,1,2
Mar 26,224,220,3,4
Mar 27,267,263,3,4
Mar 28,308,304,3,4
Mar 29,334,327,6,7
Mar 30,370,352,8,18
Mar 31,376,354,12,22
Apr 01,390,366,14,24
Apr 02,428,403,15,25
Apr 03,439,407,16,32
Apr 04,466,428,17,38
Apr 05,501,457,18,44
Apr 06,525,473,21,52
Apr 07,545,484,22,61
Apr 08,564,489,23,75
Apr 09,583,500,25,83
Apr 10,601,504,26,97
Apr 11,601,504,26,97
Apr 12,638,481,29,157
Apr 13,646,489,29,157
Apr 14,659,500,31,159
Apr 15,673,471,33,202
Apr 16,673,471,33,202
Apr 17,696,470,35,226
Apr 18,704,464,35,240
Apr 19,713,442,36,271
Apr 20,717,432,37,285
Apr 21,717,398,37,319
Apr 22,723,377,37,346
Apr 23,723,353,37,370
Apr 24,731,347,40,384
Apr 25,738,354,40,384
Apr 26,738,354,40,384
Apr 27,743,318,40,425
Apr 28,743,304,41,439
