Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,5,5,0,0
Mar 16,14,14,0,0
Mar 17,39,38,0,1
Mar 18,53,52,0,1
Mar 19,74,73,0,1
Mar 20,75,74,0,1
Mar 21,88,87,0,1
Mar 22,113,111,1,2
Mar 23,133,131,1,2
Mar 24,164,162,1,2
Mar 25,188,186,1,2
Mar 26,224,220,3,4
Mar 27,267,263,3,4
Mar 28,308,304,3,4
Mar 29,334,327,6,7
Mar 30,370,352,8,18
Mar 31,376,354,12,22
Apr 01,390,366,14,24
Apr 02,428,403,15,25
Apr 03,439,407,16,32
Apr 04,466,428,17,38
Apr 05,501,457,18,44
Apr 06,525,473,21,52
Apr 07,545,484,22,61
Apr 08,564,489,23,75
Apr 09,583,500,25,83
Apr 10,601,504,26,97
Apr 11,601,504,26,97
Apr 12,638,481,29,157
Apr 13,646,489,29,157
Apr 14,659,500,31,159
Apr 15,673,471,33,202
Apr 16,673,471,33,202
Apr 17,696,470,35,226
Apr 18,704,464,35,240
Apr 19,713,442,36,271
Apr 20,717,432,37,285
Apr 21,717,398,37,319
Apr 22,723,377,37,346
Apr 23,723,353,37,370
Apr 24,731,347,40,384
Apr 25,738,354,40,384
Apr 26,738,354,40,384
Apr 27,743,318,40,425
Apr 28,743,304,41,439
Apr 29,743,278,42,465
Apr 30,745,235,42,510
May 01,745,234,43,511
May 02,747,231,44,516
May 03,748,210,45,538
May 04,750,206,45,544
May 05,751,191,46,560
May 06,751,184,46,567
May 07,752,179,47,573
May 08,752,168,47,584
May 09,754,161,48,593
May 10,755,157,48,598
May 11,755,157,48,598
May 12,758,142,48,616
May 13,760,135,49,625
May 14,761,116,49,645
May 15,761,108,49,653
May 16,761,95,51,666
May 17,761,93,51,668
May 18,761,86,51,675
May 19,761,82,51,679
May 20,762,72,51,690
May 21,762,72,51,690
May 22,762,59,51,703
May 23,762,58,51,704
May 24,762,58,51,704
May 25,763,49,51,714
May 26,763,36,51,727
May 27,763,36,51,727
May 28,763,31,51,732
May 29,764,29,51,735
May 30,764,21,51,743
May 31,764,19,51,745
Jun 01,765,16,51,749
Jun 02,844,60,51,784
Jun 03,851,65,51,786
Jun 04,852,63,51,789
Jun 05,852,60,51,792
Jun 06,852,60,51,792
Jun 07,852,57,51,795
Jun 08,852,50,51,802
Jun 09,852,44,51,808
Jun 10,852,42,51,810
Jun 11,852,21,51,831
Jun 12,853,21,51,832
Jun 13,853,21,51,832
Jun 14,853,21,51,832
Jun 15,853,13,51,840
Jun 16,854,13,52,841
Jun 17,854,11,52,843
Jun 18,855,11,52,844
Jun 19,855,11,52,844
Jun 20,855,11,52,844
Jun 21,855,11,52,844
Jun 22,855,7,52,848
Jun 23,855,6,52,849
Jun 24,855,6,52,849
Jun 25,855,6,52,849
Jun 26,855,4,52,851
Jun 27,855,4,52,851
Jun 28,855,4,52,851
Jun 29,855,4,52,851
Jun 30,855,4,52,851
Jul 01,855,4,52,851
Jul 02,855,3,52,852
Jul 03,855,3,52,852
Jul 04,855,3,52,852
Jul 05,855,3,52,852
Jul 06,855,3,52,852
Jul 07,855,3,52,852
Jul 08,855,1,52,854
Jul 09,855,1,52,854
Jul 10,855,0,52,855
Jul 11,855,0,52,855
Jul 12,855,0,52,855
Jul 13,858,3,52,855
Jul 14,861,6,52,855
Jul 15,862,7,52,855
Jul 16,877,22,52,855
Jul 17,880,25,52,855
Jul 18,880,25,52,855
Jul 19,880,25,52,855
Jul 20,884,29,52,855
Jul 21,884,29,52,855
Jul 22,889,34,52,855
Jul 23,889,34,52,855
Jul 24,897,42,52,855
Jul 25,897,42,52,855
Jul 26,897,42,52,855
Jul 27,907,52,52,855
Jul 28,907,52,52,855
Jul 29,918,62,52,856
Jul 30,922,64,52,858
Jul 31,925,66,52,859
Aug 01,925,66,52,859
Aug 02,925,66,52,859
Aug 03,937,64,52,873
Aug 04,939,62,52,877
Aug 05,939,62,52,877
Aug 06,944,64,52,880
Aug 07,955,64,52,891
Aug 08,955,64,52,891
Aug 09,955,64,52,891
Aug 10,963,72,52,891
Aug 11,963,72,52,891
Aug 12,977,69,53,908
Aug 13,981,70,53,911
Aug 14,989,73,53,916
Aug 15,989,73,53,916
Aug 16,989,73,53,916
Aug 17,1005,83,53,922
Aug 18,1005,83,53,922
Aug 19,1024,96,53,928
Aug 20,1024,96,53,928
