Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,1,1,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,4,4,0,0
Mar 27,4,4,0,0
Mar 28,5,5,0,0
Mar 29,7,5,2,2
Mar 30,7,4,2,3
Mar 31,7,4,2,3
Apr 01,8,5,2,3
Apr 02,8,5,2,3
Apr 03,8,5,2,3
Apr 04,10,6,2,4
Apr 05,14,10,2,4
Apr 06,16,12,2,4
Apr 07,17,13,2,4
Apr 08,19,15,2,4
Apr 09,19,15,2,4
Apr 10,19,15,2,4
Apr 11,19,13,2,6
Apr 12,19,13,2,6
Apr 13,19,13,2,6
