Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,1,1,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,4,4,0,0
Mar 27,4,4,0,0
Mar 28,5,5,0,0
Mar 29,7,5,2,2
Mar 30,7,4,2,3
Mar 31,7,4,2,3
Apr 01,8,5,2,3
Apr 02,8,5,2,3
Apr 03,8,5,2,3
Apr 04,10,6,2,4
Apr 05,14,10,2,4
Apr 06,16,12,2,4
Apr 07,17,13,2,4
Apr 08,19,15,2,4
Apr 09,19,15,2,4
Apr 10,19,15,2,4
Apr 11,19,13,2,6
Apr 12,19,13,2,6
Apr 13,19,13,2,6
Apr 14,19,12,2,7
Apr 15,19,12,2,7
Apr 16,19,12,2,7
Apr 17,19,12,2,7
Apr 18,24,16,2,8
Apr 19,24,16,2,8
Apr 20,24,16,2,8
Apr 21,24,16,2,8
Apr 22,25,17,2,8
Apr 23,25,17,2,8
Apr 24,25,17,2,8
Apr 25,25,17,2,8
Apr 26,26,18,2,8
Apr 27,27,19,2,8
Apr 28,27,19,2,8
Apr 29,27,18,2,9
Apr 30,27,18,2,9
May 01,30,17,2,13
May 02,35,22,2,13
May 03,35,22,2,13
May 04,35,22,2,13
May 05,36,23,2,13
May 06,36,23,2,13
May 07,36,23,2,13
May 08,43,30,2,13
May 09,43,28,2,15
May 10,43,28,2,15
May 11,45,30,2,15
May 12,45,30,2,15
May 13,45,29,2,16
May 14,48,32,2,16
May 15,48,29,2,19
May 16,48,29,2,19
May 17,48,29,2,19
May 18,50,30,3,20
May 19,52,32,3,20
May 20,52,32,3,20
May 21,58,38,3,20
May 22,60,40,3,20
May 23,61,39,4,22
May 24,69,47,4,22
May 25,70,48,4,22
May 26,70,48,4,22
May 27,71,49,4,22
May 28,74,52,4,22
May 29,81,59,4,22
May 30,84,62,4,22
May 31,86,64,4,22
Jun 01,86,64,4,22
Jun 02,86,64,4,22
Jun 03,86,64,4,22
Jun 04,86,64,4,22
Jun 05,86,61,4,25
Jun 06,88,60,4,28
Jun 07,91,63,4,28
Jun 08,92,50,4,42
Jun 09,96,54,4,42
Jun 10,113,69,4,44
Jun 11,118,72,5,46
Jun 12,130,83,5,47
Jun 13,138,71,6,67
Jun 14,140,73,6,67
Jun 15,142,72,6,70
Jun 16,148,78,6,70
Jun 17,155,84,7,71
Jun 18,166,94,8,72
Jun 19,172,98,8,74
Jun 20,176,101,9,75
Jun 21,183,97,9,86
Jun 22,186,99,10,87
Jun 23,189,102,10,87
Jun 24,197,110,10,87
Jun 25,212,121,10,91
Jun 26,212,121,10,91
Jun 27,259,168,10,91
Jun 28,267,175,11,92
Jun 29,276,172,11,104
Jun 30,284,178,13,106
Jul 01,291,179,15,112
Jul 02,315,201,17,114
Jul 03,328,203,18,125
Jul 04,346,219,19,127
Jul 05,346,219,19,127
Jul 06,346,219,19,127
Jul 07,386,248,21,138
Jul 08,386,248,21,138
Jul 09,396,257,22,139
Jul 10,458,318,23,140
Jul 11,462,321,23,141
Jul 12,483,340,25,143
Jul 13,525,381,26,144
Jul 14,541,397,26,144
Jul 15,576,425,27,151
Jul 16,607,455,28,152
Jul 17,638,410,29,228
Jul 18,687,448,29,239
Jul 19,705,455,29,250
Jul 20,749,499,29,250
Jul 21,779,528,30,251
Jul 22,812,558,33,254
Jul 23,851,582,33,269
Jul 24,880,604,35,276
Jul 25,916,635,39,281
Jul 26,932,650,40,282
Jul 27,950,667,41,283
Jul 28,1000,687,47,313
Jul 29,1078,729,48,349
Jul 30,1109,663,51,446
Jul 31,1148,659,52,489
Aug 01,1164,650,54,514
Aug 02,1199,683,55,516
Aug 03,1280,746,58,534
Aug 04,1344,782,59,562
Aug 05,1395,827,62,568
Aug 06,1483,899,64,584
Aug 07,1538,927,67,611
Aug 08,1572,938,70,634
Aug 09,1672,1030,75,642
Aug 10,1679,1032,78,647
Aug 11,1735,1080,80,655
Aug 12,1762,1105,80,657
Aug 13,1815,1158,80,657
Aug 14,1852,1182,86,670
Aug 15,1879,1165,86,714
Aug 16,1906,1190,88,716
Aug 17,1935,1215,88,720
Aug 18,1966,1209,90,757
Aug 19,2015,1225,92,790
Aug 20,2044,1209,93,835
