Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,1,1,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,4,4,0,0
Mar 27,4,4,0,0
Mar 28,5,5,0,0
Mar 29,7,5,2,2
Mar 30,7,4,2,3
Mar 31,7,4,2,3
Apr 01,8,5,2,3
Apr 02,8,5,2,3
Apr 03,8,5,2,3
Apr 04,10,6,2,4
Apr 05,14,10,2,4
Apr 06,16,12,2,4
Apr 07,17,13,2,4
Apr 08,19,15,2,4
Apr 09,19,15,2,4
Apr 10,19,15,2,4
Apr 11,19,13,2,6
Apr 12,19,13,2,6
Apr 13,19,13,2,6
Apr 14,19,12,2,7
Apr 15,19,12,2,7
Apr 16,19,12,2,7
Apr 17,19,12,2,7
Apr 18,24,16,2,8
Apr 19,24,16,2,8
Apr 20,24,16,2,8
Apr 21,24,16,2,8
Apr 22,25,17,2,8
Apr 23,25,17,2,8
Apr 24,25,17,2,8
Apr 25,25,17,2,8
Apr 26,26,18,2,8
Apr 27,27,19,2,8
Apr 28,27,19,2,8
Apr 29,27,18,2,9
Apr 30,27,18,2,9
May 01,30,17,2,13
May 02,35,22,2,13
May 03,35,22,2,13
May 04,35,22,2,13
May 05,36,23,2,13
May 06,36,23,2,13
May 07,36,23,2,13
May 08,43,30,2,13
May 09,43,28,2,15
May 10,43,28,2,15
May 11,45,30,2,15
May 12,45,30,2,15
May 13,45,29,2,16
May 14,48,32,2,16
May 15,48,29,2,19
May 16,48,29,2,19
May 17,48,29,2,19
May 18,50,30,3,20
May 19,52,32,3,20
May 20,52,32,3,20
May 21,58,38,3,20
May 22,60,40,3,20
May 23,61,39,4,22
May 24,69,47,4,22
May 25,70,48,4,22
May 26,70,48,4,22
May 27,71,49,4,22
