Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,2,2,0,0
Mar 27,2,2,0,0
Mar 28,2,2,0,0
Mar 29,2,2,0,0
Mar 30,2,2,0,0
Mar 31,2,2,0,0
Apr 01,2,2,0,0
Apr 02,3,3,0,0
Apr 03,3,3,0,0
Apr 04,3,3,0,0
Apr 05,3,3,0,0
Apr 06,3,3,0,0
Apr 07,3,3,0,0
Apr 08,3,3,0,0
Apr 09,3,3,0,0
Apr 10,3,3,0,0
Apr 11,3,3,0,0
Apr 12,3,3,0,0
Apr 13,3,2,0,1
Apr 14,3,2,0,1
Apr 15,3,2,0,1
Apr 16,3,2,0,1
Apr 17,3,2,0,1
Apr 18,3,2,0,1
Apr 19,3,2,0,1
Apr 20,3,2,0,1
Apr 21,3,2,0,1
Apr 22,3,2,0,1
Apr 23,3,2,0,1
Apr 24,3,2,0,1
Apr 25,3,2,0,1
Apr 26,3,2,0,1
Apr 27,3,0,0,3
Apr 28,3,0,0,3
Apr 29,3,0,0,3
Apr 30,3,0,0,3
May 01,3,0,0,3
May 02,3,0,0,3
May 03,3,0,0,3
May 04,3,0,0,3
May 05,3,0,0,3
May 06,3,0,0,3
May 07,3,0,0,3
May 08,3,0,0,3
May 09,3,0,0,3
May 10,3,0,0,3
May 11,3,0,0,3
May 12,3,0,0,3
May 13,3,0,0,3
May 14,3,0,0,3
May 15,3,0,0,3
May 16,3,0,0,3
May 17,3,0,0,3
May 18,3,0,0,3
May 19,3,0,0,3
May 20,3,0,0,3
May 21,3,0,0,3
May 22,3,0,0,3
May 23,3,0,0,3
May 24,3,0,0,3
May 25,3,0,0,3
May 26,3,0,0,3
May 27,3,0,0,3
May 28,3,0,0,3
May 29,3,0,0,3
May 30,3,0,0,3
May 31,3,0,0,3
Jun 01,3,0,0,3
Jun 02,3,0,0,3
Jun 03,3,0,0,3
Jun 04,3,0,0,3
Jun 05,3,0,0,3
Jun 06,3,0,0,3
Jun 07,3,0,0,3
Jun 08,3,0,0,3
Jun 09,3,0,0,3
Jun 10,3,0,0,3
Jun 11,3,0,0,3
