Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,7,7,0,0
Mar 27,7,7,0,0
Mar 28,7,7,0,0
Mar 29,7,7,0,0
Mar 30,7,7,0,0
Mar 31,7,7,0,0
Apr 01,7,7,0,0
Apr 02,9,9,0,0
Apr 03,15,15,0,0
Apr 04,15,15,0,0
Apr 05,15,15,0,0
Apr 06,15,15,0,0
Apr 07,19,18,1,1
Apr 08,19,17,2,2
Apr 09,19,17,2,2
Apr 10,21,19,2,2
Apr 11,21,19,2,2
Apr 12,21,19,2,2
Apr 13,23,18,2,5
Apr 14,23,18,2,5
Apr 15,23,18,2,5
Apr 16,23,17,3,6
Apr 17,23,17,3,6
Apr 18,23,17,3,6
Apr 19,23,17,3,6
Apr 20,23,17,3,6
Apr 21,23,13,3,10
Apr 22,24,11,3,13
Apr 23,24,11,3,13
Apr 24,24,10,3,14
Apr 25,24,10,3,14
Apr 26,24,10,3,14
Apr 27,24,10,3,14
Apr 28,24,10,3,14
Apr 29,24,10,3,14
Apr 30,24,10,3,14
May 01,25,7,3,18
May 02,25,7,3,18
May 03,25,7,3,18
May 04,25,7,3,18
May 05,25,6,3,19
May 06,25,6,3,19
May 07,25,6,3,19
May 08,25,6,3,19
May 09,25,3,3,22
May 10,25,3,3,22
May 11,25,3,3,22
May 12,25,3,3,22
May 13,25,3,3,22
May 14,25,3,3,22
May 15,25,3,3,22
May 16,25,3,3,22
May 17,25,3,3,22
May 18,25,3,3,22
May 19,25,3,3,22
May 20,25,3,3,22
May 21,25,3,3,22
May 22,25,3,3,22
May 23,25,3,3,22
May 24,25,3,3,22
May 25,25,3,3,22
May 26,25,3,3,22
May 27,25,3,3,22
