Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,6,6,0,0
Mar 13,8,8,0,0
Mar 14,20,20,0,0
Mar 15,28,28,0,0
Mar 16,52,51,0,1
Mar 17,78,77,0,1
Mar 18,110,109,0,1
Mar 19,122,121,0,1
Mar 20,136,135,0,1
Mar 21,160,159,0,1
Mar 22,194,192,0,2
Mar 23,235,233,0,2
Mar 24,249,235,0,14
Mar 25,265,249,0,16
Mar 26,290,271,1,19
Mar 27,329,300,1,29
Mar 28,407,376,1,31
Mar 29,424,391,3,33
Mar 30,482,449,3,33
Mar 31,532,499,3,33
Apr 01,571,536,4,35
Apr 02,663,623,7,40
Apr 03,736,686,7,50
Apr 04,770,720,7,50
Apr 05,822,758,7,64
Apr 06,833,763,8,70
Apr 07,853,758,8,95
Apr 08,881,758,9,123
Apr 09,921,773,10,148
Apr 10,937,776,12,161
Apr 11,967,781,13,186
Apr 12,1013,803,13,210
Apr 13,1039,814,14,225
Apr 14,1067,786,16,281
Apr 15,1111,797,17,314
Apr 16,1159,783,18,376
Apr 17,1201,780,19,421
Apr 18,1248,705,20,543
Apr 19,1291,726,20,565
Apr 20,1339,737,22,602
Apr 21,1401,768,24,633
Apr 22,1473,816,24,657
Apr 23,1523,840,24,683
Apr 24,1596,841,27,755
Apr 25,1677,846,28,831
Apr 26,1746,885,28,861
Apr 27,1808,931,29,877
Apr 28,1867,971,30,896
