Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,2,2,0,0
Mar 14,2,2,0,0
Mar 15,2,2,0,0
Mar 16,2,2,0,0
Mar 17,3,3,0,0
Mar 18,4,4,0,0
Mar 19,5,4,0,1
Mar 20,5,4,0,1
Mar 21,5,4,0,1
Mar 22,9,8,0,1
Mar 23,9,8,0,1
Mar 24,17,16,0,1
Mar 25,19,18,0,1
Mar 26,28,27,0,1
Mar 27,33,32,0,1
Mar 28,46,45,0,1
Mar 29,50,49,0,1
Mar 30,50,49,0,1
Mar 31,55,54,0,1
Apr 01,55,54,0,1
Apr 02,60,59,0,1
Apr 03,62,61,0,1
Apr 04,64,63,0,1
Apr 05,64,63,0,1
Apr 06,71,69,0,2
Apr 07,74,60,0,14
Apr 08,77,63,0,14
Apr 09,82,62,0,20
Apr 10,86,59,0,27
Apr 11,92,63,0,29
Apr 12,92,60,0,32
Apr 13,92,60,0,32
Apr 14,92,60,0,32
Apr 15,93,53,1,40
Apr 16,95,54,2,41
Apr 17,96,51,2,45
Apr 18,96,50,2,46
Apr 19,97,46,2,51
Apr 20,97,46,2,51
Apr 21,97,44,2,53
Apr 22,100,30,2,70
Apr 23,100,30,2,70
Apr 24,100,29,2,71
Apr 25,100,29,2,71
Apr 26,100,25,2,75
Apr 27,100,25,2,75
Apr 28,100,25,2,75
Apr 29,100,25,2,75
Apr 30,100,19,2,81
May 01,100,17,2,83
May 02,100,17,2,83
May 03,100,17,2,83
May 04,100,17,2,83
May 05,101,17,2,84
May 06,101,10,2,91
May 07,101,9,3,92
May 08,101,9,3,92
May 09,101,9,3,92
May 10,101,9,3,92
May 11,101,9,3,92
May 12,101,9,3,92
May 13,101,7,3,94
May 14,101,5,3,96
May 15,101,5,3,96
May 16,101,5,3,96
May 17,101,5,3,96
May 18,101,5,3,96
May 19,101,5,3,96
May 20,101,3,3,98
May 21,101,3,3,98
May 22,101,3,3,98
May 23,101,3,3,98
May 24,101,3,3,98
May 25,101,3,3,98
May 26,101,3,3,98
May 27,101,1,3,100
May 28,101,0,3,101
May 29,101,0,3,101
May 30,101,0,3,101
May 31,101,0,3,101
Jun 01,101,0,3,101
Jun 02,101,0,3,101
Jun 03,101,0,3,101
Jun 04,101,0,3,101
Jun 05,101,0,3,101
Jun 06,101,0,3,101
Jun 07,101,0,3,101
Jun 08,101,0,3,101
Jun 09,101,0,3,101
Jun 10,101,0,3,101
Jun 11,101,0,3,101
Jun 12,101,0,3,101
Jun 13,101,0,3,101
Jun 14,101,0,3,101
Jun 15,101,0,3,101
Jun 16,101,0,3,101
Jun 17,101,0,3,101
Jun 18,101,0,3,101
Jun 19,101,0,3,101
Jun 20,101,0,3,101
Jun 21,101,0,3,101
Jun 22,101,0,3,101
Jun 23,101,0,3,101
Jun 24,101,0,3,101
Jun 25,101,0,3,101
Jun 26,101,0,3,101
Jun 27,101,0,3,101
Jun 28,101,0,3,101
Jun 29,103,2,3,101
Jun 30,103,2,3,101
Jul 01,103,2,3,101
Jul 02,104,3,3,101
Jul 03,104,3,3,101
Jul 04,105,4,3,101
Jul 05,105,4,3,101
Jul 06,105,4,3,101
Jul 07,105,4,3,101
Jul 08,105,4,3,101
Jul 09,105,4,3,101
Jul 10,105,4,3,101
Jul 11,105,3,3,102
Jul 12,105,3,3,102
Jul 13,105,3,3,102
Jul 14,106,4,3,102
Jul 15,106,4,3,102
Jul 16,108,5,3,103
Jul 17,111,8,3,103
Jul 18,111,8,3,103
Jul 19,113,10,3,103
Jul 20,115,12,3,103
Jul 21,117,14,3,103
Jul 22,117,14,3,103
Jul 23,117,14,3,103
Jul 24,118,14,3,104
Jul 25,119,14,3,105
Jul 26,119,14,3,105
Jul 27,119,14,3,105
Jul 28,119,14,3,105
Jul 29,119,14,3,105
Jul 30,120,12,3,108
Jul 31,121,13,3,108
Aug 01,121,13,3,108
Aug 02,122,8,3,114
Aug 03,124,9,3,115
Aug 04,132,17,3,115
Aug 05,171,56,3,115
Aug 06,263,146,3,117
Aug 07,396,279,3,117
Aug 08,509,392,3,117
Aug 09,563,446,3,117
Aug 10,630,513,3,117
Aug 11,717,600,3,117
Aug 12,798,681,3,117
Aug 13,894,776,4,118
Aug 14,973,855,4,118
Aug 15,1048,851,4,197
Aug 16,1102,898,4,204
Aug 17,1121,905,4,216
Aug 18,1205,924,4,281
Aug 19,1296,1014,5,282
Aug 20,1387,1104,6,283
