Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,3,3,0,0
Mar 01,3,3,0,0
Mar 02,3,3,0,0
Mar 03,3,3,0,0
Mar 04,3,3,0,0
Mar 05,6,6,0,0
Mar 06,9,9,0,0
Mar 07,9,9,0,0
Mar 08,9,9,0,0
Mar 09,9,9,0,0
Mar 10,11,11,0,0
Mar 11,11,8,0,3
Mar 12,15,11,1,4
Mar 13,15,11,1,4
Mar 14,19,12,1,7
Mar 15,23,16,1,7
Mar 16,25,18,1,7
Mar 17,34,27,1,7
Mar 18,34,26,1,8
Mar 19,44,36,1,8
Mar 20,44,36,1,8
Mar 21,53,41,1,12
Mar 22,65,53,1,12
Mar 23,72,61,1,11
Mar 24,87,76,1,11
Mar 25,93,81,2,12
Mar 26,122,104,3,18
Mar 27,165,147,3,18
Mar 28,182,163,4,19
Mar 29,209,190,4,19
Mar 30,273,243,4,30
Mar 31,298,267,5,31
Apr 01,359,328,5,31
Apr 02,400,369,5,31
Apr 03,443,406,5,37
Apr 04,521,484,5,37
Apr 05,584,545,7,39
Apr 06,641,590,7,51
Apr 07,717,665,8,52
Apr 08,822,751,8,71
Apr 09,926,816,9,110
Apr 10,991,822,10,169
Apr 11,1058,847,11,211
Apr 12,1098,837,11,261
Apr 13,1148,847,12,301
