Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,3,3,0,0
Mar 20,4,4,0,0
Mar 21,4,4,0,0
Mar 22,4,4,0,0
Mar 23,4,4,0,0
Mar 24,5,4,0,1
Mar 25,5,4,0,1
Mar 26,9,8,0,1
Mar 27,10,9,0,1
Mar 28,10,9,0,1
Mar 29,14,13,0,1
Mar 30,14,13,0,1
Mar 31,14,13,0,1
Apr 01,21,19,1,2
Apr 02,24,22,1,2
Apr 03,24,21,3,3
Apr 04,28,24,4,4
Apr 05,29,20,5,9
Apr 06,33,23,5,10
Apr 07,33,22,6,11
Apr 08,40,28,7,12
Apr 09,41,28,8,13
Apr 10,42,29,8,13
Apr 11,46,33,8,13
Apr 12,46,33,8,13
Apr 13,49,35,8,14
