Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,3,3,0,0
Mar 20,4,4,0,0
Mar 21,4,4,0,0
Mar 22,4,4,0,0
Mar 23,4,4,0,0
Mar 24,5,4,0,1
Mar 25,5,4,0,1
Mar 26,9,8,0,1
Mar 27,10,9,0,1
Mar 28,10,9,0,1
Mar 29,14,13,0,1
Mar 30,14,13,0,1
Mar 31,14,13,0,1
Apr 01,21,19,1,2
Apr 02,24,22,1,2
Apr 03,24,21,3,3
Apr 04,28,24,4,4
Apr 05,29,20,5,9
Apr 06,33,23,5,10
Apr 07,33,22,6,11
Apr 08,40,28,7,12
Apr 09,41,28,8,13
Apr 10,42,29,8,13
Apr 11,46,33,8,13
Apr 12,46,33,8,13
Apr 13,49,35,8,14
Apr 14,49,35,8,14
Apr 15,53,39,8,14
Apr 16,53,39,8,14
Apr 17,54,36,9,18
Apr 18,58,39,9,19
Apr 19,60,40,9,20
Apr 20,60,40,9,20
Apr 21,65,44,9,21
Apr 22,65,44,9,21
Apr 23,72,47,11,25
Apr 24,73,47,11,26
Apr 25,78,52,11,26
Apr 26,80,47,11,33
Apr 27,80,47,11,33
Apr 28,80,46,11,34
Apr 29,80,46,11,34
Apr 30,81,46,11,35
May 01,81,46,11,35
May 02,83,48,11,35
May 03,83,48,11,35
May 04,83,47,11,36
May 05,89,52,11,37
May 06,92,55,11,37
May 07,92,55,11,37
May 08,92,50,11,42
May 09,92,44,11,48
May 10,92,44,11,48
May 11,93,43,11,50
May 12,93,43,11,50
May 13,94,42,11,52
May 14,96,44,11,52
May 15,96,44,11,52
May 16,96,43,11,53
May 17,96,43,11,53
May 18,96,42,11,54
May 19,96,42,11,54
May 20,97,43,11,54
May 21,97,42,11,55
May 22,97,42,11,55
May 23,100,44,11,56
May 24,100,44,11,56
May 25,100,43,11,57
May 26,100,43,11,57
May 27,100,43,11,57
May 28,100,43,11,57
May 29,102,43,11,59
May 30,102,43,11,59
May 31,102,43,11,59
Jun 01,102,42,11,60
Jun 02,102,42,11,60
Jun 03,102,36,11,66
Jun 04,102,36,11,66
Jun 05,102,36,11,66
Jun 06,103,30,11,73
Jun 07,103,30,11,73
Jun 08,103,28,11,75
Jun 09,103,28,11,75
Jun 10,103,25,11,78
Jun 11,103,24,11,79
Jun 12,103,24,11,79
Jun 13,103,24,11,79
Jun 14,103,24,11,79
Jun 15,103,24,11,79
Jun 16,104,21,11,83
Jun 17,104,21,11,83
Jun 18,104,19,11,85
Jun 19,104,19,11,85
Jun 20,104,19,11,85
Jun 21,104,16,11,88
Jun 22,104,16,11,88
Jun 23,104,10,11,94
Jun 24,104,10,11,94
Jun 25,104,9,11,95
Jun 26,104,9,11,95
Jun 27,104,6,11,98
Jun 28,104,6,11,98
Jun 29,104,6,11,98
Jun 30,104,6,11,98
Jul 01,104,4,11,100
Jul 02,104,4,11,100
Jul 03,104,4,11,100
Jul 04,104,4,11,100
Jul 05,104,4,11,100
Jul 06,104,4,11,100
Jul 07,104,4,11,100
Jul 08,104,4,11,100
Jul 09,106,6,11,100
Jul 10,107,7,11,100
Jul 11,111,11,11,100
Jul 12,111,11,11,100
Jul 13,111,11,11,100
Jul 14,113,11,11,102
Jul 15,119,17,11,102
Jul 16,124,22,11,102
Jul 17,129,27,11,102
Jul 18,138,36,11,102
Jul 19,153,51,11,102
Jul 20,174,72,11,102
Jul 21,194,92,11,102
Jul 22,219,117,11,102
Jul 23,274,172,11,102
Jul 24,316,214,11,102
Jul 25,326,224,11,102
Jul 26,342,240,11,102
Jul 27,382,280,11,102
Jul 28,447,345,11,102
Jul 29,484,382,11,102
Jul 30,508,403,14,105
Jul 31,574,469,14,105
Aug 01,599,494,14,105
Aug 02,648,543,14,105
Aug 03,679,574,14,105
Aug 04,715,610,14,105
Aug 05,751,646,14,105
Aug 06,761,656,14,105
Aug 07,830,721,14,109
Aug 08,878,765,14,113
Aug 09,898,779,15,119
Aug 10,945,817,15,128
Aug 11,989,858,15,131
Aug 12,1036,899,15,137
Aug 13,1089,936,15,153
Aug 14,1119,964,17,155
Aug 15,1252,1075,17,177
Aug 16,1315,1108,18,207
Aug 17,1329,1119,19,210
Aug 18,1424,1201,20,223
Aug 19,1531,1300,22,231
Aug 20,1610,1376,23,234
