Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,3,3,0,0
Mar 20,4,4,0,0
Mar 21,4,4,0,0
Mar 22,4,4,0,0
Mar 23,4,4,0,0
Mar 24,5,4,0,1
Mar 25,5,4,0,1
Mar 26,9,8,0,1
Mar 27,10,9,0,1
Mar 28,10,9,0,1
Mar 29,14,13,0,1
Mar 30,14,13,0,1
Mar 31,14,13,0,1
Apr 01,21,19,1,2
Apr 02,24,22,1,2
Apr 03,24,21,3,3
Apr 04,28,24,4,4
Apr 05,29,20,5,9
Apr 06,33,23,5,10
Apr 07,33,22,6,11
Apr 08,40,28,7,12
Apr 09,41,28,8,13
Apr 10,42,29,8,13
Apr 11,46,33,8,13
Apr 12,46,33,8,13
Apr 13,49,35,8,14
Apr 14,49,35,8,14
Apr 15,53,39,8,14
Apr 16,53,39,8,14
Apr 17,54,36,9,18
Apr 18,58,39,9,19
Apr 19,60,40,9,20
Apr 20,60,40,9,20
Apr 21,65,44,9,21
Apr 22,65,44,9,21
Apr 23,72,47,11,25
Apr 24,73,47,11,26
Apr 25,78,52,11,26
Apr 26,80,47,11,33
Apr 27,80,47,11,33
Apr 28,80,46,11,34
Apr 29,80,46,11,34
Apr 30,81,46,11,35
May 01,81,46,11,35
May 02,83,48,11,35
May 03,83,48,11,35
May 04,83,47,11,36
May 05,89,52,11,37
May 06,92,55,11,37
May 07,92,55,11,37
May 08,92,50,11,42
May 09,92,44,11,48
May 10,92,44,11,48
May 11,93,43,11,50
May 12,93,43,11,50
May 13,94,42,11,52
May 14,96,44,11,52
May 15,96,44,11,52
May 16,96,43,11,53
May 17,96,43,11,53
May 18,96,42,11,54
May 19,96,42,11,54
May 20,97,43,11,54
May 21,97,42,11,55
May 22,97,42,11,55
May 23,100,44,11,56
May 24,100,44,11,56
May 25,100,43,11,57
May 26,100,43,11,57
May 27,100,43,11,57
