Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,5,5,0,0
Feb 25,23,23,0,0
Feb 26,33,33,0,0
Feb 27,33,33,0,0
Feb 28,40,40,0,0
Feb 29,42,42,0,0
Mar 01,48,48,0,0
Mar 02,49,49,0,0
Mar 03,49,49,0,0
Mar 04,54,53,0,1
Mar 05,56,52,0,4
Mar 06,62,58,0,4
Mar 07,85,77,0,8
Mar 08,87,71,0,16
Mar 09,111,87,0,24
Mar 10,190,158,0,32
Mar 11,197,160,0,37
Mar 12,206,160,0,46
Mar 13,212,150,0,62
Mar 14,214,152,0,62
Mar 15,217,138,0,79
Mar 16,235,151,1,84
Mar 17,246,155,1,91
Mar 18,264,161,1,103
Mar 19,284,171,1,113
Mar 20,300,172,1,128
Mar 21,312,160,1,152
Mar 22,338,174,2,164
Mar 23,383,202,2,181
Mar 24,408,213,3,195
Mar 25,423,213,4,210
Mar 26,460,227,4,233
Mar 27,468,208,4,260
Mar 28,500,225,4,275
Mar 29,502,217,4,285
Mar 30,528,227,4,301
Mar 31,569,247,4,322
Apr 01,577,230,4,347
Apr 02,666,278,4,388
Apr 03,676,271,4,405
Apr 04,694,261,4,433
Apr 05,704,247,4,457
Apr 06,765,301,4,464
Apr 07,813,338,5,475
Apr 08,825,323,5,502
Apr 09,903,366,5,537
Apr 10,1000,441,6,559
Apr 11,1053,488,6,565
Apr 12,1312,725,6,587
Apr 13,1387,779,6,608
Apr 14,1555,889,7,666
Apr 15,1688,1012,7,676
Apr 16,1727,994,7,733
Apr 17,1756,1020,7,736
Apr 18,1794,1027,7,767
Apr 19,1894,1116,7,778
Apr 20,1914,1123,7,791
Apr 21,1976,1180,7,796
Apr 22,2043,997,7,1046
Apr 23,2327,1224,8,1103
Apr 24,2520,1385,8,1135
Apr 25,2629,1449,8,1180
Apr 26,2656,1427,8,1229
Apr 27,2759,1502,8,1257
Apr 28,2820,1441,8,1379
Apr 29,2987,1492,8,1495
Apr 30,3060,1543,8,1517
May 01,3216,1640,8,1576
May 02,3317,1727,8,1590
May 03,3391,1644,8,1747
May 04,3563,1792,8,1771
May 05,3734,1956,8,1778
May 06,4039,2024,8,2015
May 07,4290,2263,8,2027
May 08,4463,2410,8,2053
May 09,4788,2709,8,2079
May 10,5090,2982,8,2108
May 11,5279,3103,8,2176
May 12,5651,3448,9,2203
May 13,5963,3736,10,2227
May 14,6389,4050,10,2339
May 15,6652,4011,11,2641
May 16,6814,4069,12,2745
May 17,7007,4108,12,2899
May 18,7245,4330,12,2915
May 19,7596,4538,12,3058
May 20,7974,4367,12,3607
May 21,8255,4315,12,3940
May 22,8641,4507,12,4134
May 23,8971,4415,13,4556
May 24,9157,4318,13,4839
May 25,9187,4324,14,4863
May 26,9578,4513,14,5065
May 27,9775,4422,15,5353
May 28,10186,4663,15,5523
May 29,10627,4442,15,6185
May 30,11127,4865,17,6262
May 31,11609,4578,19,7031
Jun 01,12056,4562,19,7494
Jun 02,12507,4774,19,7733
Jun 03,12999,4988,20,8011
Jun 04,13520,4757,21,8763
Jun 05,14028,4805,23,9223
Jun 06,14539,4735,24,9804
Jun 07,15132,4887,26,10245
Jun 08,15734,5119,27,10615
