Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,3,3,0,0
Mar 09,3,3,0,0
Mar 10,3,3,0,0
Mar 11,3,3,0,0
Mar 12,3,3,0,0
Mar 13,3,2,0,1
Mar 14,5,3,0,2
Mar 15,5,3,0,2
Mar 16,8,5,0,3
Mar 17,10,7,0,3
Mar 18,14,10,1,4
Mar 19,18,14,1,4
Mar 20,20,16,1,4
Mar 21,24,19,2,5
Mar 22,27,22,2,5
Mar 23,33,25,3,8
Mar 24,39,30,4,9
Mar 25,39,27,5,12
Mar 26,44,28,5,16
Mar 27,48,32,5,16
Mar 28,48,28,5,20
Mar 29,48,28,5,20
Mar 30,49,25,5,24
Mar 31,51,21,5,30
Apr 01,54,23,6,31
Apr 02,56,25,6,31
Apr 03,61,29,6,32
Apr 04,70,32,8,38
Apr 05,88,46,9,42
Apr 06,123,78,12,45
Apr 07,164,114,17,50
Apr 08,218,165,20,53
Apr 09,330,276,21,54
Apr 10,424,364,27,60
Apr 11,482,416,30,66
Apr 12,621,548,34,73
Apr 13,803,722,39,81
Apr 14,1012,924,46,88
Apr 15,1231,1132,50,99
Apr 16,1572,1463,60,109
Apr 17,1838,1705,75,133
Apr 18,2144,1994,84,150
Apr 19,2456,2290,91,166
Apr 20,2948,2762,101,186
Apr 21,3382,3185,110,197
Apr 22,3772,3560,120,212
Apr 23,4186,3951,127,235
Apr 24,4689,4446,131,243
Apr 25,4998,4745,140,253
Apr 26,5416,5149,145,267
Apr 27,5913,5630,152,283
Apr 28,6462,6168,155,294
