Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,3,3,0,0
Mar 09,3,3,0,0
Mar 10,3,3,0,0
Mar 11,3,3,0,0
Mar 12,3,3,0,0
Mar 13,3,2,0,1
Mar 14,5,3,0,2
Mar 15,5,3,0,2
Mar 16,8,5,0,3
Mar 17,10,7,0,3
Mar 18,14,10,1,4
Mar 19,18,14,1,4
Mar 20,20,16,1,4
Mar 21,24,19,2,5
Mar 22,27,22,2,5
Mar 23,33,25,3,8
Mar 24,39,30,4,9
Mar 25,39,27,5,12
Mar 26,44,28,5,16
Mar 27,48,32,5,16
Mar 28,48,28,5,20
Mar 29,48,28,5,20
Mar 30,49,25,5,24
Mar 31,51,21,5,30
Apr 01,54,23,6,31
Apr 02,56,25,6,31
Apr 03,61,29,6,32
Apr 04,70,32,8,38
Apr 05,88,46,9,42
Apr 06,123,78,12,45
Apr 07,164,114,17,50
Apr 08,218,165,20,53
Apr 09,330,276,21,54
Apr 10,424,364,27,60
Apr 11,482,416,30,66
Apr 12,621,548,34,73
Apr 13,803,722,39,81
Apr 14,1012,924,46,88
Apr 15,1231,1132,50,99
Apr 16,1572,1463,60,109
Apr 17,1838,1705,75,133
Apr 18,2144,1994,84,150
Apr 19,2456,2290,91,166
Apr 20,2948,2762,101,186
Apr 21,3382,3185,110,197
Apr 22,3772,3560,120,212
Apr 23,4186,3951,127,235
Apr 24,4689,4446,131,243
Apr 25,4998,4745,140,253
Apr 26,5416,5149,145,267
Apr 27,5913,5630,152,283
Apr 28,6462,6168,155,294
Apr 29,7103,6790,163,313
Apr 30,7667,7339,168,328
May 01,8238,7894,170,344
May 02,8790,8438,175,352
May 03,9455,8215,177,1240
May 04,10143,8752,182,1391
May 05,10929,9343,183,1586
May 06,11719,10130,186,1589
May 07,12425,10316,199,2109
May 08,13134,10827,206,2307
May 09,13770,11142,214,2628
May 10,14657,11779,228,2878
May 11,15691,12550,239,3141
May 12,16660,13263,250,3397
May 13,17822,14192,269,3630
May 14,18863,14977,283,3886
May 15,20065,15885,298,4180
May 16,20995,16564,314,4431
May 17,22268,17567,328,4701
May 18,23870,18936,349,4934
May 19,25121,19758,370,5363
May 20,26738,21145,386,5593
May 21,28511,22501,408,6010
May 22,30205,23583,432,6622
May 23,32078,25140,452,6938
May 24,33610,26229,480,7381
May 25,35585,27750,501,7835
May 26,36751,28650,522,8101
May 27,38292,29823,544,8469
