Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,4,4,0,0
Mar 04,6,6,0,0
Mar 05,6,6,0,0
Mar 06,6,6,0,0
Mar 07,6,6,0,0
Mar 08,6,6,0,0
Mar 09,6,6,0,0
Mar 10,9,6,0,3
Mar 11,9,6,0,3
Mar 12,21,18,0,3
Mar 13,27,24,0,3
Mar 14,27,24,0,3
Mar 15,27,24,0,3
Mar 16,36,33,0,3
Mar 17,36,33,0,3
Mar 18,51,46,0,5
Mar 19,51,46,0,5
Mar 20,69,54,0,15
Mar 21,76,61,0,15
Mar 22,76,61,0,15
Mar 23,81,59,0,22
Mar 24,81,59,0,22
Mar 25,86,57,0,29
Mar 26,86,57,0,29
Mar 27,94,62,0,32
Mar 28,94,62,0,32
Mar 29,94,62,0,32
Mar 30,152,120,0,32
Mar 31,152,104,1,48
Apr 01,163,108,2,55
Apr 02,304,247,4,57
Apr 03,351,294,4,57
Apr 04,440,382,5,58
Apr 05,562,502,8,60
Apr 06,700,634,13,66
Apr 07,861,794,13,67
Apr 08,1066,976,13,90
Apr 09,1486,1331,16,155
Apr 10,1981,1793,19,188
Apr 11,2226,2031,23,195
Apr 12,2578,2349,26,229
Apr 13,2919,2687,29,232
Apr 14,3281,3045,33,236
Apr 15,3728,3489,36,239
Apr 16,4204,3961,40,243
Apr 17,4779,4395,42,384
Apr 18,4779,4392,45,387
Apr 19,4779,4238,47,541
Apr 20,6264,5699,51,565
Apr 21,6723,6091,55,632
Apr 22,7281,6454,58,827
Apr 23,8022,7024,60,998
Apr 24,8773,7590,63,1183
Apr 25,9590,7950,67,1640
Apr 26,10463,8696,72,1767
Apr 27,11289,9474,75,1815
Apr 28,12208,10136,79,2072
