Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,6,6,0,0
Mar 24,6,6,0,0
Mar 25,6,6,0,0
Mar 26,6,6,0,0
Mar 27,6,6,0,0
Mar 28,6,6,0,0
Mar 29,6,6,0,0
Mar 30,6,6,0,0
Mar 31,9,8,0,1
Apr 01,13,12,0,1
Apr 02,13,12,0,1
Apr 03,16,14,0,2
Apr 04,16,14,0,2
Apr 05,22,17,0,5
Apr 06,26,20,1,6
Apr 07,26,20,1,6
Apr 08,26,20,1,6
Apr 09,26,20,1,6
Apr 10,35,29,1,6
Apr 11,35,29,1,6
Apr 12,35,29,1,6
Apr 13,35,29,1,6
Apr 14,35,16,1,19
Apr 15,35,16,1,19
Apr 16,35,16,1,19
Apr 17,35,16,1,19
Apr 18,35,16,1,19
Apr 19,35,16,1,19
Apr 20,54,26,1,28
Apr 21,54,26,1,28
Apr 22,54,26,1,28
Apr 23,54,26,1,28
Apr 24,54,26,1,28
Apr 25,54,26,1,28
Apr 26,64,30,1,34
Apr 27,64,30,1,34
Apr 28,64,30,1,34
