Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,2,2,0,0
Mar 24,2,2,0,0
Mar 25,2,2,0,0
Mar 26,2,2,0,0
Mar 27,3,3,0,0
Mar 28,3,3,0,0
Mar 29,4,4,0,0
Mar 30,4,4,0,0
Mar 31,4,4,0,0
Apr 01,4,4,0,0
Apr 02,5,4,0,1
Apr 03,5,3,0,2
Apr 04,5,3,0,2
Apr 05,5,3,0,2
Apr 06,5,3,0,2
Apr 07,5,3,0,2
Apr 08,5,3,0,2
Apr 09,5,3,0,2
Apr 10,5,3,0,2
Apr 11,5,3,0,2
Apr 12,5,3,0,2
Apr 13,5,3,0,2
Apr 14,5,3,0,2
Apr 15,5,3,0,2
Apr 16,5,3,0,2
Apr 17,5,3,0,2
Apr 18,5,3,0,2
Apr 19,5,3,0,2
Apr 20,5,3,0,2
Apr 21,6,4,0,2
Apr 22,7,5,0,2
Apr 23,7,4,0,3
Apr 24,7,4,0,3
Apr 25,7,4,0,3
Apr 26,7,3,0,4
Apr 27,7,3,0,4
Apr 28,7,2,0,5
Apr 29,7,2,0,5
Apr 30,7,2,0,5
May 01,7,2,0,5
May 02,7,2,0,5
May 03,7,2,0,5
May 04,7,2,0,5
May 05,7,2,0,5
May 06,7,2,0,5
May 07,7,2,0,5
May 08,7,2,0,5
May 09,7,2,0,5
May 10,7,2,0,5
May 11,9,4,0,5
May 12,11,6,0,5
May 13,11,6,0,5
May 14,20,15,0,5
May 15,21,16,0,5
May 16,21,16,0,5
May 17,21,16,0,5
May 18,21,16,0,5
May 19,21,16,0,5
May 20,21,16,0,5
May 21,21,15,0,6
May 22,21,15,0,6
May 23,24,18,0,6
May 24,24,18,0,6
May 25,27,21,0,6
May 26,27,21,0,6
May 27,28,22,0,6
May 28,31,25,0,6
May 29,31,25,0,6
May 30,33,27,0,6
May 31,43,37,0,6
Jun 01,43,37,0,6
Jun 02,47,38,0,9
Jun 03,47,38,0,9
Jun 04,47,38,0,9
Jun 05,48,37,0,11
Jun 06,48,37,0,11
Jun 07,48,37,0,11
Jun 08,59,45,0,14
Jun 09,59,42,0,17
Jun 10,59,41,0,18
Jun 11,62,44,0,18
Jun 12,62,43,0,19
Jun 13,62,42,0,20
Jun 14,66,45,0,21
Jun 15,66,44,0,22
Jun 16,67,45,0,22
Jun 17,67,43,0,24
Jun 18,67,42,0,25
Jun 19,67,42,0,25
Jun 20,68,40,0,28
Jun 21,68,38,0,30
Jun 22,68,36,0,32
Jun 23,69,37,0,32
Jun 24,70,36,0,34
Jun 25,70,36,0,34
Jun 26,70,32,0,38
Jun 27,75,37,0,38
Jun 28,76,38,0,38
Jun 29,76,32,0,44
Jun 30,77,33,0,44
Jul 01,77,29,0,48
Jul 02,77,27,0,50
Jul 03,77,27,0,50
Jul 04,78,27,0,51
Jul 05,78,27,0,51
Jul 06,80,27,0,53
Jul 07,80,26,0,54
Jul 08,80,25,0,55
Jul 09,80,25,0,55
Jul 10,80,25,0,55
Jul 11,82,25,0,57
Jul 12,82,6,0,76
Jul 13,84,8,0,76
Jul 14,84,6,0,78
Jul 15,84,6,0,78
Jul 16,84,6,0,78
Jul 17,86,8,0,78
Jul 18,87,9,0,78
Jul 19,87,7,0,80
Jul 20,89,7,0,82
Jul 21,90,7,0,83
Jul 22,92,9,0,83
Jul 23,92,9,0,83
Jul 24,92,9,0,83
Jul 25,92,7,0,85
Jul 26,93,8,0,85
Jul 27,95,10,0,85
Jul 28,99,13,0,86
Jul 29,99,13,0,86
Jul 30,101,13,0,88
Jul 31,101,13,0,88
Aug 01,101,12,0,89
Aug 02,102,13,0,89
Aug 03,103,14,0,89
Aug 04,103,13,0,90
Aug 05,105,12,0,93
Aug 06,105,12,0,93
Aug 07,108,12,0,96
Aug 08,108,12,0,96
Aug 09,108,12,0,96
Aug 10,110,14,0,96
Aug 11,113,16,0,97
Aug 12,116,19,0,97
Aug 13,128,28,0,100
Aug 14,131,31,0,100
Aug 15,133,31,0,102
Aug 16,138,36,0,102
Aug 17,141,38,0,103
Aug 18,146,43,0,103
Aug 19,147,44,0,103
Aug 20,150,45,0,105
