Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,2,2,0,0
Mar 11,2,2,0,0
Mar 12,3,3,0,0
Mar 13,10,10,0,0
Mar 14,10,10,0,0
Mar 15,10,10,0,0
Mar 16,11,11,0,0
Mar 17,12,12,0,0
Mar 18,12,12,0,0
Mar 19,15,15,0,0
Mar 20,16,16,0,0
Mar 21,19,19,0,0
Mar 22,24,24,0,0
Mar 23,27,27,0,0
Mar 24,29,29,0,0
Mar 25,32,32,0,0
Mar 26,61,61,0,0
Mar 27,61,61,0,0
Mar 28,74,74,0,0
Mar 29,81,80,1,1
Mar 30,97,93,4,4
Mar 31,107,101,6,6
Apr 01,115,107,7,8
Apr 02,123,114,8,9
Apr 03,132,122,9,10
Apr 04,139,128,10,11
Apr 05,157,145,10,12
Apr 06,183,170,11,13
Apr 07,194,178,14,16
Apr 08,210,193,15,17
Apr 09,264,244,18,20
Apr 10,268,247,19,21
Apr 11,275,253,20,22
Apr 12,300,274,24,26
Apr 13,330,301,27,29
Apr 14,354,320,28,34
Apr 15,397,362,28,35
Apr 16,441,398,29,43
Apr 17,465,408,31,57
Apr 18,493,431,31,62
Apr 19,520,457,32,63
Apr 20,564,500,33,64
Apr 21,598,527,34,71
Apr 22,609,528,37,81
Apr 23,672,588,40,84
Apr 24,703,616,43,87
Apr 25,807,709,44,98
Apr 26,866,746,46,120
Apr 27,950,820,50,130
Apr 28,1014,863,53,151
Apr 29,1053,888,55,165
Apr 30,1110,934,59,176
May 01,1167,973,62,194
May 02,1229,1029,66,200
May 03,1470,1240,71,230
May 04,1594,1352,76,242
May 05,1681,1425,82,256
May 06,1802,1529,86,273
May 07,1886,1597,91,289
May 08,2081,1760,102,321
May 09,2266,1923,106,343
May 10,2437,2065,114,372
May 11,2556,2165,118,391
May 12,2831,2410,122,421
May 13,2964,2523,128,441
May 14,3148,2667,142,481
May 15,3372,2864,152,508
May 16,3577,2979,164,598
May 17,3826,3188,165,638
May 18,4088,3426,169,662
May 19,4263,3586,174,677
May 20,4481,3759,189,722
May 21,4919,4167,199,752
May 22,5187,4411,215,776
May 23,5579,4774,230,805
May 24,5915,5066,240,849
May 25,6263,5384,250,879
May 26,6660,5752,261,908
May 27,7136,6185,274,951
