Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,2,2,0,0
Mar 06,3,3,0,0
Mar 07,3,3,0,0
Mar 08,3,3,0,0
Mar 09,5,5,0,0
Mar 10,7,7,0,0
Mar 11,7,7,0,0
Mar 12,11,11,0,0
Mar 13,18,18,0,0
Mar 14,21,21,0,0
Mar 15,24,24,0,0
Mar 16,25,23,0,2
Mar 17,34,32,0,2
Mar 18,39,37,0,2
Mar 19,64,62,0,2
Mar 20,89,87,0,2
Mar 21,93,90,1,3
Mar 22,126,123,1,3
Mar 23,136,133,1,3
Mar 24,168,163,3,5
Mar 25,176,171,3,5
Mar 26,191,186,3,5
Mar 27,237,228,4,9
Mar 28,278,264,6,14
Mar 29,323,309,6,14
Mar 30,368,341,10,27
Mar 31,420,390,13,30
Apr 01,459,427,13,32
Apr 02,533,497,16,36
Apr 03,579,535,17,44
Apr 04,624,573,21,51
Apr 05,654,601,23,53
Apr 06,674,598,29,76
Apr 07,764,663,33,101
Apr 08,804,691,34,113
Apr 09,858,722,35,136
Apr 10,901,736,36,165
Apr 11,946,770,37,176
Apr 12,1009,777,39,232
Apr 13,1037,792,39,245
Apr 14,1083,807,40,276
Apr 15,1110,816,41,294
Apr 16,1167,847,43,320
Apr 17,1214,848,46,366
Apr 18,1268,883,47,385
Apr 19,1285,890,48,395
Apr 20,1309,879,49,430
Apr 21,1342,854,51,488
Apr 22,1368,855,53,513
Apr 23,1413,874,54,539
Apr 24,1421,828,55,593
Apr 25,1486,837,57,649
Apr 26,1516,833,59,683
Apr 27,1565,846,60,719
Apr 28,1585,840,63,745
Apr 29,1677,902,65,775
Apr 30,1757,961,69,796
May 01,1781,956,70,825
May 02,1839,988,72,851
May 03,1857,955,77,902
May 04,1926,993,78,933
May 05,1946,956,79,990
May 06,1987,973,86,1014
May 07,2027,983,90,1044
May 08,2070,1012,98,1058
May 09,2090,929,102,1161
May 10,2117,904,107,1213
May 11,2141,914,113,1227
May 12,2158,873,117,1285
May 13,2181,833,120,1348
May 14,2218,824,122,1394
May 15,2236,772,128,1464
May 16,2267,783,129,1484
May 17,2290,721,133,1569
May 18,2304,707,133,1597
May 19,2321,665,134,1656
May 20,2338,645,136,1693
May 21,2350,614,140,1736
May 22,2372,617,141,1755
May 23,2391,588,141,1803
May 24,2401,577,144,1824
May 25,2406,564,146,1842
May 26,2416,546,149,1870
May 27,2435,540,151,1895
May 28,2462,528,153,1934
May 29,2485,529,153,1956
May 30,2494,510,153,1984
May 31,2510,495,153,2015
Jun 01,2524,482,154,2042
Jun 02,2535,468,157,2067
Jun 03,2551,455,157,2096
Jun 04,2594,485,158,2109
Jun 05,2606,480,158,2126
Jun 06,2636,510,158,2126
Jun 07,2673,546,159,2127
Jun 08,2704,521,160,2183
Jun 09,2728,519,160,2209
Jun 10,2775,551,161,2224
Jun 11,2832,571,161,2261
Jun 12,2893,611,163,2282
Jun 13,2893,611,163,2282
