Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,3,3,0,0
Mar 31,4,3,1,1
Apr 01,4,3,1,1
Apr 02,4,3,1,1
Apr 03,4,3,1,1
Apr 04,4,3,1,1
Apr 05,6,5,1,1
Apr 06,6,5,1,1
Apr 07,6,5,1,1
Apr 08,6,5,1,1
Apr 09,13,12,1,1
Apr 10,13,12,1,1
Apr 11,13,12,1,1
Apr 12,13,12,1,1
Apr 13,13,12,1,1
Apr 14,13,12,1,1
Apr 15,13,12,1,1
Apr 16,15,14,1,1
Apr 17,15,14,1,1
Apr 18,15,14,1,1
Apr 19,20,19,1,1
Apr 20,20,19,1,1
Apr 21,20,19,1,1
Apr 22,22,21,1,1
Apr 23,22,21,1,1
Apr 24,22,21,1,1
Apr 25,22,21,1,1
Apr 26,22,21,1,1
Apr 27,22,21,1,1
Apr 28,23,22,1,1
Apr 29,23,17,1,6
Apr 30,23,17,1,6
May 01,23,14,1,9
May 02,23,14,1,9
May 03,23,14,1,9
May 04,23,14,1,9
May 05,23,14,1,9
May 06,23,14,1,9
May 07,23,13,1,10
May 08,23,13,1,10
May 09,23,10,1,13
May 10,23,10,1,13
May 11,24,11,1,13
May 12,24,6,1,18
May 13,24,6,1,18
May 14,24,6,1,18
May 15,24,6,1,18
May 16,24,6,1,18
May 17,25,7,1,18
May 18,25,7,1,18
May 19,25,7,1,18
May 20,25,7,1,18
May 21,29,9,1,20
May 22,30,10,1,20
May 23,30,10,1,20
May 24,35,15,1,20
May 25,35,15,1,20
May 26,35,14,1,21
May 27,35,14,1,21
May 28,35,14,1,21
May 29,35,14,1,21
May 30,35,14,1,21
May 31,35,14,1,21
Jun 01,38,17,1,21
Jun 02,40,16,1,24
Jun 03,40,16,1,24
Jun 04,40,16,1,24
Jun 05,40,16,1,24
Jun 06,40,16,1,24
Jun 07,40,16,1,24
Jun 08,42,17,1,25
Jun 09,42,17,1,25
Jun 10,48,23,1,25
Jun 11,48,23,1,25
