Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,1,1,0,0
Feb 26,1,1,0,0
Feb 27,1,1,0,0
Feb 28,1,1,0,0
Feb 29,2,2,0,0
Mar 01,2,2,0,0
Mar 02,2,2,0,0
Mar 03,2,2,0,0
Mar 04,3,3,0,0
Mar 05,8,8,0,0
Mar 06,13,13,0,0
Mar 07,19,19,0,0
Mar 08,25,25,0,0
Mar 09,25,25,0,0
Mar 10,34,34,0,0
Mar 11,52,52,0,0
Mar 12,77,77,0,0
Mar 13,151,150,0,1
Mar 14,151,150,0,1
Mar 15,200,198,0,2
Mar 16,234,232,0,2
Mar 17,346,343,1,3
Mar 18,529,523,4,6
Mar 19,640,631,7,9
Mar 20,970,957,11,13
Mar 21,1178,1158,18,20
Mar 22,1546,1519,25,27
Mar 23,1924,1888,34,36
Mar 24,2247,2199,46,48
Mar 25,2554,2493,59,61
Mar 26,2985,2902,77,83
Mar 27,3417,3319,92,98
Mar 28,3904,3784,114,120
Mar 29,4256,4114,136,142
Mar 30,4630,4347,163,283
Mar 31,5717,5389,201,328
Apr 01,6880,6511,242,369
Apr 02,8044,7593,324,451
Apr 03,9194,8704,363,490
Apr 04,10360,9788,445,572
Apr 05,11254,10641,486,613
Apr 06,12183,11492,564,691
Apr 07,14034,13221,686,813
Apr 08,16188,15241,820,947
Apr 09,18145,17018,954,1127
Apr 10,19789,18548,1068,1241
Apr 11,20962,19649,1140,1313
Apr 12,22192,20796,1223,1396
Apr 13,23430,21929,1328,1501
