Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,2,2,0,0
Mar 26,2,2,0,0
Mar 27,2,2,0,0
Mar 28,2,2,0,0
Mar 29,2,2,0,0
Mar 30,2,2,0,0
Mar 31,3,3,0,0
Apr 01,3,3,0,0
Apr 02,3,3,0,0
Apr 03,3,3,0,0
Apr 04,3,3,0,0
Apr 05,3,3,0,0
Apr 06,3,3,0,0
Apr 07,3,3,0,0
Apr 08,3,3,0,0
Apr 09,3,3,0,0
Apr 10,3,3,0,0
Apr 11,3,1,0,2
Apr 12,3,1,0,2
Apr 13,3,1,0,2
Apr 14,3,1,0,2
Apr 15,3,1,0,2
Apr 16,3,1,0,2
Apr 17,4,2,0,2
Apr 18,4,2,0,2
Apr 19,4,1,1,3
Apr 20,5,1,1,4
Apr 21,5,1,1,4
Apr 22,5,1,1,4
Apr 23,5,1,1,4
Apr 24,5,1,1,4
Apr 25,6,2,1,4
Apr 26,6,2,1,4
Apr 27,6,2,1,4
Apr 28,6,2,1,4
Apr 29,6,2,1,4
Apr 30,6,2,1,4
May 01,6,2,1,4
May 02,6,2,1,4
May 03,6,2,1,4
May 04,6,2,1,4
May 05,7,3,1,4
May 06,7,3,1,4
May 07,7,3,1,4
May 08,7,3,1,4
May 09,7,2,1,5
May 10,7,2,1,5
May 11,7,2,1,5
May 12,7,2,1,5
May 13,7,2,1,5
May 14,7,2,1,5
May 15,8,1,1,7
May 16,8,1,1,7
May 17,8,1,1,7
May 18,8,1,1,7
May 19,8,1,1,7
May 20,8,1,1,7
May 21,8,1,1,7
May 22,8,1,1,7
May 23,8,1,1,7
May 24,8,1,1,7
May 25,8,1,1,7
May 26,8,1,1,7
May 27,8,0,1,8
May 28,8,0,1,8
May 29,8,0,1,8
May 30,8,0,1,8
May 31,8,0,1,8
Jun 01,8,0,1,8
Jun 02,8,0,1,8
Jun 03,8,0,1,8
Jun 04,8,0,1,8
Jun 05,8,0,1,8
Jun 06,8,0,1,8
Jun 07,8,0,1,8
Jun 08,8,0,1,8
Jun 09,8,0,1,8
Jun 10,8,0,1,8
Jun 11,8,0,1,8
Jun 12,8,0,1,8
Jun 13,8,0,1,8
Jun 14,8,0,1,8
Jun 15,8,0,1,8
Jun 16,8,0,1,8
Jun 17,8,0,1,8
Jun 18,8,0,1,8
Jun 19,8,0,1,8
Jun 20,8,0,1,8
Jun 21,8,0,1,8
Jun 22,8,0,1,8
Jun 23,8,0,1,8
Jun 24,8,0,1,8
Jun 25,8,0,1,8
Jun 26,8,0,1,8
Jun 27,8,0,1,8
Jun 28,8,0,1,8
Jun 29,8,0,1,8
Jun 30,8,0,1,8
Jul 01,8,0,1,8
Jul 02,8,0,1,8
Jul 03,8,0,1,8
Jul 04,8,0,1,8
Jul 05,8,0,1,8
Jul 06,8,0,1,8
Jul 07,8,0,1,8
Jul 08,8,0,1,8
Jul 09,8,0,1,8
Jul 10,8,0,1,8
Jul 11,8,0,1,8
Jul 12,8,0,1,8
Jul 13,8,0,1,8
Jul 14,8,0,1,8
Jul 15,8,0,1,8
Jul 16,8,0,1,8
Jul 17,8,0,1,8
Jul 18,8,0,1,8
Jul 19,8,0,1,8
Jul 20,8,0,1,8
Jul 21,8,0,1,8
Jul 22,8,0,1,8
Jul 23,8,0,1,8
Jul 24,8,0,1,8
Jul 25,8,0,1,8
Jul 26,8,0,1,8
Jul 27,8,0,1,8
Jul 28,8,0,1,8
Jul 29,8,0,1,8
Jul 30,8,0,1,8
Jul 31,8,0,1,8
Aug 01,8,0,1,8
Aug 02,8,0,1,8
Aug 03,8,0,1,8
Aug 04,8,0,1,8
Aug 05,9,1,1,8
Aug 06,9,1,1,8
Aug 07,9,1,1,8
Aug 08,9,1,1,8
Aug 09,9,1,1,8
Aug 10,9,1,1,8
Aug 11,9,1,1,8
Aug 12,9,1,1,8
Aug 13,9,1,1,8
Aug 14,9,1,1,8
Aug 15,9,1,1,8
Aug 16,9,1,1,8
Aug 17,9,1,1,8
Aug 18,11,2,1,9
Aug 19,11,2,1,9
Aug 20,11,2,1,9
