Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,1,1,0,0
Mar 10,6,6,0,0
Mar 11,11,11,0,0
Mar 12,25,25,0,0
Mar 13,37,37,0,0
Mar 14,40,40,0,0
Mar 15,50,50,0,0
Mar 16,54,54,0,0
Mar 17,56,56,0,0
Mar 18,68,68,0,0
Mar 19,73,73,0,0
Mar 20,78,77,0,1
Mar 21,83,82,0,1
Mar 22,88,86,0,2
Mar 23,91,89,0,2
Mar 24,104,102,0,2
Mar 25,109,107,0,2
Mar 26,114,109,0,5
Mar 27,115,104,0,11
Mar 28,120,94,1,26
Mar 29,126,91,1,35
Mar 30,127,88,1,39
Mar 31,129,83,1,46
Apr 01,131,78,1,53
Apr 02,133,76,1,57
Apr 03,134,68,1,66
Apr 04,135,68,1,67
Apr 05,135,61,1,74
Apr 06,135,52,1,83
Apr 07,135,49,1,86
Apr 08,135,43,1,92
Apr 09,135,42,1,93
Apr 10,136,36,1,100
Apr 11,136,31,1,105
Apr 12,136,29,1,107
Apr 13,136,28,1,108
Apr 14,136,28,1,108
Apr 15,136,27,1,109
Apr 16,136,27,1,109
Apr 17,136,23,1,113
Apr 18,137,23,1,114
Apr 19,138,22,1,116
Apr 20,138,21,1,117
Apr 21,138,21,1,117
Apr 22,138,20,1,118
Apr 23,138,18,1,120
Apr 24,138,17,1,121
Apr 25,138,16,1,122
Apr 26,138,14,1,124
Apr 27,138,13,1,125
Apr 28,138,13,1,125
Apr 29,138,13,1,125
Apr 30,138,13,1,125
May 01,138,13,1,125
May 02,138,11,1,127
May 03,138,9,1,129
May 04,138,7,1,131
May 05,138,6,1,132
May 06,139,7,1,132
May 07,141,9,1,132
May 08,141,8,1,133
May 09,141,8,1,133
May 10,141,6,1,135
May 11,141,6,1,135
May 12,141,6,1,135
May 13,141,6,1,135
May 14,141,6,1,135
May 15,141,5,1,136
May 16,141,4,1,137
May 17,141,4,1,137
May 18,141,4,1,137
May 19,141,4,1,137
May 20,141,4,1,137
May 21,141,4,1,137
May 22,141,4,1,137
May 23,141,4,1,137
May 24,141,3,1,138
May 25,141,3,1,138
May 26,141,3,1,138
May 27,141,2,2,139
May 28,141,1,2,140
May 29,141,1,2,140
May 30,141,1,2,140
May 31,141,1,2,140
Jun 01,141,1,2,140
Jun 02,141,1,2,140
Jun 03,141,1,2,140
Jun 04,141,1,2,140
Jun 05,141,1,2,140
Jun 06,141,1,2,140
Jun 07,141,1,2,140
Jun 08,141,1,2,140
Jun 09,141,1,2,140
Jun 10,141,1,2,140
Jun 11,141,1,2,140
