Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,1,1,0,0
Mar 10,2,2,0,0
Mar 11,2,2,0,0
Mar 12,2,2,0,0
Mar 13,2,2,0,0
Mar 14,2,2,0,0
Mar 15,3,3,0,0
Mar 16,15,15,0,0
Mar 17,15,15,0,0
Mar 18,27,26,1,1
Mar 19,33,32,1,1
Mar 20,40,35,1,5
Mar 21,64,56,3,8
Mar 22,75,66,4,9
Mar 23,99,90,4,9
Mar 24,114,103,4,11
Mar 25,146,132,4,14
Mar 26,152,135,7,17
Mar 27,180,159,9,21
Mar 28,207,175,11,32
Mar 29,222,187,12,35
Mar 30,246,203,12,43
Mar 31,261,215,14,46
Apr 01,282,220,16,62
Apr 02,288,222,16,66
Apr 03,302,236,16,66
Apr 04,318,236,16,82
Apr 05,345,238,17,107
Apr 06,364,238,18,126
Apr 07,384,238,19,146
Apr 08,414,257,23,157
Apr 09,443,273,24,170
Apr 10,448,273,26,175
Apr 11,484,302,27,182
Apr 12,497,309,27,188
Apr 13,515,327,27,188
Apr 14,528,321,30,207
Apr 15,542,284,32,258
Apr 16,546,257,32,289
Apr 17,557,228,35,329
Apr 18,565,208,36,357
Apr 19,576,202,36,374
Apr 20,581,186,38,395
Apr 21,600,200,38,400
Apr 22,609,181,39,428
Apr 23,616,165,41,451
Apr 24,629,163,41,466
Apr 25,629,146,41,483
Apr 26,632,137,42,495
Apr 27,635,124,42,511
Apr 28,638,120,42,518
