Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,2,2,0,0
Apr 01,2,2,0,0
Apr 02,3,3,0,0
Apr 03,3,3,0,0
Apr 04,3,3,0,0
Apr 05,3,3,0,0
Apr 06,3,3,0,0
Apr 07,3,3,0,0
Apr 08,3,3,0,0
Apr 09,3,3,0,0
Apr 10,3,3,0,0
Apr 11,5,5,0,0
Apr 12,5,5,0,0
Apr 13,5,4,1,1
Apr 14,5,4,1,1
Apr 15,5,4,1,1
Apr 16,5,4,1,1
Apr 17,5,4,1,1
Apr 18,5,4,1,1
Apr 19,5,4,1,1
Apr 20,5,0,1,5
Apr 21,5,0,1,5
Apr 22,11,6,1,5
Apr 23,11,6,1,5
Apr 24,11,6,1,5
Apr 25,11,6,1,5
Apr 26,11,6,1,5
Apr 27,11,6,1,5
Apr 28,11,6,1,5
