Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,2,2,0,0
Apr 01,2,2,0,0
Apr 02,3,3,0,0
Apr 03,3,3,0,0
Apr 04,3,3,0,0
Apr 05,3,3,0,0
Apr 06,3,3,0,0
Apr 07,3,3,0,0
Apr 08,3,3,0,0
Apr 09,3,3,0,0
Apr 10,3,3,0,0
Apr 11,5,5,0,0
Apr 12,5,5,0,0
Apr 13,5,4,1,1
Apr 14,5,4,1,1
Apr 15,5,4,1,1
Apr 16,5,4,1,1
Apr 17,5,4,1,1
Apr 18,5,4,1,1
Apr 19,5,4,1,1
Apr 20,5,0,1,5
Apr 21,5,0,1,5
Apr 22,11,6,1,5
Apr 23,11,6,1,5
Apr 24,11,6,1,5
Apr 25,11,6,1,5
Apr 26,11,6,1,5
Apr 27,11,6,1,5
Apr 28,11,6,1,5
Apr 29,11,6,1,5
Apr 30,11,6,1,5
May 01,11,6,1,5
May 02,15,7,1,8
May 03,15,7,1,8
May 04,15,7,1,8
May 05,15,7,1,8
May 06,15,7,1,8
May 07,15,7,1,8
May 08,15,7,1,8
May 09,15,7,1,8
May 10,15,7,1,8
May 11,15,7,1,8
May 12,15,7,1,8
May 13,15,7,1,8
May 14,15,7,1,8
May 15,15,7,1,8
May 16,15,7,1,8
May 17,23,7,1,16
May 18,42,21,1,21
May 19,42,21,1,21
May 20,42,21,1,21
May 21,42,21,1,21
May 22,42,21,1,21
May 23,42,21,1,21
May 24,42,21,1,21
May 25,42,21,1,21
May 26,42,21,1,21
May 27,42,21,1,21
May 28,42,21,1,21
May 29,42,21,1,21
May 30,63,29,1,34
May 31,63,29,1,34
Jun 01,63,29,1,34
Jun 02,63,29,1,34
Jun 03,63,29,1,34
Jun 04,63,29,1,34
Jun 05,63,29,1,34
Jun 06,83,37,1,46
Jun 07,83,37,1,46
Jun 08,83,37,1,46
Jun 09,83,37,1,46
Jun 10,83,37,1,46
Jun 11,85,39,1,46
Jun 12,85,39,1,46
Jun 13,85,39,1,46
Jun 14,85,39,1,46
Jun 15,85,39,1,46
Jun 16,104,28,1,76
Jun 17,104,28,1,76
Jun 18,104,28,1,76
Jun 19,104,28,1,76
Jun 20,104,28,1,76
Jun 21,144,50,1,94
Jun 22,144,50,1,94
Jun 23,144,50,1,94
Jun 24,144,50,1,94
Jun 25,144,50,1,94
Jun 26,144,50,1,94
Jun 27,170,54,1,116
Jun 28,170,54,1,116
Jun 29,170,54,1,116
Jun 30,170,54,1,116
Jul 01,170,54,1,116
Jul 02,170,54,1,116
Jul 03,191,72,1,119
Jul 04,191,72,1,119
Jul 05,191,72,1,119
Jul 06,191,72,1,119
Jul 07,191,72,1,119
Jul 08,191,72,1,119
Jul 09,191,72,1,119
Jul 10,191,72,1,119
Jul 11,191,72,1,119
Jul 12,191,72,1,119
Jul 13,269,61,1,208
Jul 14,269,61,1,208
Jul 15,269,61,1,208
Jul 16,303,95,1,208
Jul 17,310,102,1,208
Jul 18,310,102,1,208
Jul 19,310,102,1,208
Jul 20,322,114,1,208
Jul 21,328,120,1,208
Jul 22,328,120,1,208
Jul 23,345,74,1,271
Jul 24,345,74,1,271
Jul 25,361,81,1,280
Jul 26,361,81,1,280
Jul 27,378,76,1,302
Jul 28,378,76,1,302
Jul 29,387,82,1,305
Jul 30,387,82,1,305
Jul 31,387,82,1,305
Aug 01,395,90,1,305
Aug 02,395,90,1,305
Aug 03,395,90,1,305
Aug 04,395,90,1,305
Aug 05,395,90,1,305
Aug 06,405,92,1,313
Aug 07,405,92,1,313
Aug 08,405,92,1,313
Aug 09,408,92,1,316
Aug 10,408,92,1,316
Aug 11,408,92,1,316
Aug 12,409,93,1,316
Aug 13,410,94,1,316
Aug 14,412,96,1,316
Aug 15,412,96,1,316
Aug 16,413,97,1,316
Aug 17,413,76,1,337
Aug 18,416,79,1,337
Aug 19,422,85,1,337
Aug 20,422,85,1,337
