Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,1,1,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,3,3,0,0
Mar 24,3,2,1,1
Mar 25,4,3,1,1
Mar 26,5,4,1,1
Mar 27,5,4,1,1
Mar 28,6,5,1,1
Mar 29,6,5,1,1
Mar 30,6,5,1,1
Mar 31,6,5,1,1
Apr 01,6,5,1,1
Apr 02,6,5,1,1
Apr 03,6,5,1,1
Apr 04,7,6,1,1
Apr 05,7,6,1,1
Apr 06,7,5,1,2
Apr 07,7,5,1,2
Apr 08,7,5,1,2
Apr 09,7,5,1,2
Apr 10,7,5,1,2
Apr 11,8,6,1,2
Apr 12,8,6,1,2
Apr 13,10,8,1,2
Apr 14,11,9,1,2
Apr 15,56,54,1,2
Apr 16,56,54,1,2
Apr 17,56,54,1,2
Apr 18,58,56,1,2
Apr 19,61,59,1,2
Apr 20,67,65,1,2
Apr 21,68,66,1,2
Apr 22,73,71,1,2
Apr 23,82,80,1,2
Apr 24,88,86,1,2
Apr 25,90,88,1,2
Apr 26,106,104,1,2
Apr 27,109,107,1,2
Apr 28,113,110,1,3
Apr 29,113,110,1,3
Apr 30,121,116,1,5
May 01,122,103,1,19
May 02,152,132,2,20
May 03,165,130,2,35
May 04,175,136,2,39
May 05,186,147,2,39
May 06,191,151,2,40
May 07,218,178,2,40
May 08,230,184,2,46
May 09,236,178,2,58
May 10,246,188,2,58
May 11,260,200,2,60
May 12,267,207,2,60
May 13,289,226,2,63
May 14,315,246,2,69
May 15,326,257,2,69
May 16,328,241,3,87
May 17,328,241,3,87
May 18,328,240,3,88
May 19,335,247,3,88
May 20,349,261,3,88
May 21,356,258,3,98
May 22,362,264,3,98
May 23,371,226,3,145
May 24,380,222,3,158
May 25,390,232,3,158
May 26,390,231,4,159
May 27,390,231,4,159
May 28,390,231,4,159
May 29,405,246,4,159
May 30,421,250,4,171
May 31,435,238,4,197
Jun 01,458,261,4,197
Jun 02,466,224,5,242
Jun 03,477,234,5,243
Jun 04,502,258,5,244
Jun 05,536,292,5,244
Jun 06,542,297,5,245
Jun 07,554,309,5,245
Jun 08,567,296,5,271
Jun 09,585,310,5,275
Jun 10,615,316,5,299
Jun 11,657,357,6,300
Jun 12,697,397,6,300
Jun 13,726,426,6,300
Jun 14,750,443,6,307
Jun 15,760,413,7,347
Jun 16,781,420,7,361
Jun 17,792,408,7,384
Jun 18,823,439,7,384
Jun 19,848,463,8,385
Jun 20,863,478,8,385
Jun 21,890,469,8,421
Jun 22,944,517,8,427
Jun 23,982,548,8,434
Jun 24,999,512,8,487
Jun 25,1003,433,8,570
Jun 26,1027,449,10,578
Jun 27,1091,511,12,580
Jun 28,1155,573,12,582
Jun 29,1165,545,12,620
Jun 30,1227,583,15,644
Jul 01,1267,623,15,644
Jul 02,1301,657,15,644
Jul 03,1382,738,15,644
Jul 04,1421,751,16,670
Jul 05,1451,779,17,672
Jul 06,1463,724,17,739
Jul 07,1499,757,18,742
Jul 08,1542,794,18,748
Jul 09,1552,804,18,748
Jul 10,1591,842,19,749
Jul 11,1623,856,19,767
Jul 12,1623,856,19,767
Jul 13,1698,931,19,767
Jul 14,1722,931,19,791
Jul 15,1780,911,19,869
Jul 16,1894,973,19,921
Jul 17,1939,1018,19,921
Jul 18,2014,1080,21,934
Jul 19,2045,1051,21,994
Jul 20,2071,987,21,1084
Jul 21,2107,986,21,1121
Jul 22,2154,1001,21,1153
Jul 23,2190,1019,21,1171
Jul 24,2220,982,22,1238
Jul 25,2258,873,22,1385
Jul 26,2307,838,22,1469
Jul 27,2328,756,22,1572
Jul 28,2354,716,22,1638
Jul 29,2373,656,23,1717
Jul 30,2418,701,23,1717
Jul 31,2451,604,23,1847
Aug 01,2480,619,24,1861
Aug 02,2547,663,24,1884
Aug 03,2583,647,25,1936
Aug 04,2631,675,26,1956
Aug 05,2689,707,27,1982
Aug 06,2734,697,27,2037
Aug 07,2780,709,29,2071
Aug 08,2835,730,32,2105
Aug 09,2858,740,32,2118
Aug 10,2883,723,32,2160
Aug 11,2920,739,33,2181
Aug 12,3000,795,33,2205
Aug 13,3073,808,33,2265
Aug 14,3136,849,33,2287
Aug 15,3163,827,34,2336
Aug 16,3179,827,35,2352
Aug 17,3203,831,36,2372
Aug 18,3253,827,36,2426
Aug 19,3321,843,36,2478
Aug 20,3368,869,37,2499
