Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,1,0,0,1
Feb 16,1,0,0,1
Feb 17,1,0,0,1
Feb 18,1,0,0,1
Feb 19,1,0,0,1
Feb 20,1,0,0,1
Feb 21,1,0,0,1
Feb 22,1,0,0,1
Feb 23,1,0,0,1
Feb 24,1,0,0,1
Feb 25,1,0,0,1
Feb 26,1,0,0,1
Feb 27,1,0,0,1
Feb 28,1,0,0,1
Feb 29,1,0,0,1
Mar 01,1,0,0,1
Mar 02,1,0,0,1
Mar 03,1,0,0,1
Mar 04,1,0,0,1
Mar 05,1,0,0,1
Mar 06,1,0,0,1
Mar 07,2,1,0,1
Mar 08,2,1,0,1
Mar 09,2,1,0,1
Mar 10,3,2,0,1
Mar 11,5,4,0,1
Mar 12,5,4,0,1
Mar 13,7,6,0,1
Mar 14,7,6,0,1
Mar 15,12,11,0,1
Mar 16,12,11,0,1
Mar 17,33,32,0,1
Mar 18,37,36,0,1
Mar 19,37,36,0,1
Mar 20,51,50,0,1
Mar 21,53,51,0,2
Mar 22,84,82,0,2
Mar 23,87,85,0,2
Mar 24,91,87,0,4
Mar 25,96,86,0,10
Mar 26,98,88,0,10
Mar 27,99,88,0,11
Mar 28,99,86,0,13
Mar 29,103,82,0,21
Mar 30,107,86,0,21
Mar 31,109,86,0,23
Apr 01,109,84,0,25
Apr 02,110,76,0,34
Apr 03,114,79,0,35
Apr 04,114,64,0,50
Apr 05,114,64,0,50
Apr 06,114,61,0,53
Apr 07,115,57,0,58
Apr 08,117,54,0,63
Apr 09,119,57,0,62
Apr 10,119,47,0,72
Apr 11,120,45,0,75
Apr 12,122,45,0,77
Apr 13,122,45,0,77
Apr 14,122,31,0,91
Apr 15,122,26,0,96
Apr 16,122,24,0,98
Apr 17,122,24,0,98
Apr 18,122,19,0,103
Apr 19,122,17,0,105
Apr 20,122,15,0,107
Apr 21,122,12,0,110
Apr 22,122,12,0,110
Apr 23,122,12,0,110
Apr 24,122,5,0,117
Apr 25,122,5,0,117
Apr 26,122,5,0,117
Apr 27,122,3,0,119
Apr 28,122,3,0,119
Apr 29,122,3,0,119
Apr 30,122,3,0,119
May 01,122,3,0,119
May 02,122,2,0,120
May 03,122,2,0,120
May 04,122,2,0,120
May 05,122,2,0,120
May 06,122,2,0,120
May 07,122,2,0,120
May 08,122,2,0,120
May 09,122,2,0,120
May 10,122,2,0,120
May 11,122,2,0,120
May 12,122,1,0,121
May 13,122,1,0,121
May 14,122,1,0,121
May 15,122,1,0,121
May 16,122,0,0,122
May 17,122,0,0,122
May 18,122,0,0,122
May 19,122,0,0,122
May 20,122,0,0,122
May 21,123,1,0,122
May 22,123,1,0,122
May 23,124,2,0,122
May 24,124,2,0,122
May 25,124,2,0,122
May 26,124,2,0,122
May 27,124,2,0,122
May 28,124,2,0,122
May 29,124,2,0,122
May 30,125,2,0,123
May 31,125,2,0,123
Jun 01,125,2,0,123
Jun 02,125,2,0,123
Jun 03,125,2,0,123
Jun 04,125,2,0,123
Jun 05,125,2,0,123
Jun 06,125,2,0,123
Jun 07,126,3,0,123
Jun 08,126,3,0,123
Jun 09,126,2,0,124
Jun 10,126,1,0,125
Jun 11,126,1,0,125
