Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,2,2,0,0
Mar 07,2,2,0,0
Mar 08,2,2,0,0
Mar 09,2,2,0,0
Mar 10,2,2,0,0
Mar 11,2,2,0,0
Mar 12,2,2,0,0
Mar 13,2,2,0,0
Mar 14,3,3,0,0
Mar 15,4,4,0,0
Mar 16,5,5,0,0
Mar 17,10,10,0,0
Mar 18,13,13,0,0
Mar 19,13,13,0,0
Mar 20,27,25,0,2
Mar 21,40,38,0,2
Mar 22,40,38,0,2
Mar 23,56,54,0,2
Mar 24,66,63,1,3
Mar 25,75,72,1,3
Mar 26,75,72,1,3
Mar 27,91,87,2,4
Mar 28,91,87,2,4
Mar 29,139,128,6,11
Mar 30,139,128,6,11
Mar 31,193,182,6,11
Apr 01,233,217,6,16
Apr 02,306,289,7,17
Apr 03,509,484,8,25
Apr 04,555,529,9,26
Apr 05,650,624,9,26
Apr 06,658,632,9,26
Apr 07,685,616,9,69
Apr 08,730,660,10,70
Apr 09,803,730,12,73
Apr 10,820,710,12,110
Apr 11,820,710,12,110
Apr 12,820,710,12,110
Apr 13,848,738,12,110
Apr 14,848,704,14,144
Apr 15,848,666,17,182
Apr 16,996,810,22,186
Apr 17,996,810,22,186
Apr 18,1017,670,42,347
Apr 19,1017,670,42,347
Apr 20,1163,816,42,347
Apr 21,1163,791,43,372
Apr 22,1163,723,43,440
Apr 23,1334,623,43,711
Apr 24,1430,719,43,711
Apr 25,1518,768,53,750
Apr 26,1621,779,56,842
Apr 27,1705,842,58,863
Apr 28,1705,732,58,973
Apr 29,1832,837,61,995
Apr 30,1832,837,61,995
May 01,1832,837,61,995
May 02,2077,1060,64,1017
May 03,2077,1060,64,1017
May 04,2104,1087,64,1017
May 05,2104,1087,64,1017
May 06,2265,1157,108,1108
May 07,2267,1157,108,1110
May 08,2267,1157,108,1110
May 09,2274,934,108,1340
May 10,2579,1000,114,1579
May 11,2689,1040,125,1649
May 12,2689,1040,125,1649
May 13,2800,1121,136,1679
May 14,2954,1262,139,1692
May 15,2954,1262,139,1692
May 16,3105,1398,140,1707
May 17,3105,1398,140,1707
May 18,3529,1822,140,1707
May 19,3529,1822,140,1707
May 20,3733,1992,146,1741
May 21,4288,2324,156,1964
May 22,4400,2419,159,1981
May 23,4400,2419,159,1981
May 24,4890,2860,165,2030
May 25,4890,2860,165,2030
May 26,5436,3265,175,2171
May 27,5436,3265,175,2171
