Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,2,2,0,0
Apr 02,2,2,0,0
Apr 03,2,2,0,0
Apr 04,2,2,0,0
Apr 05,2,2,0,0
Apr 06,2,2,0,0
Apr 07,2,2,0,0
Apr 08,2,2,0,0
Apr 09,2,2,0,0
Apr 10,2,2,0,0
Apr 11,2,2,0,0
Apr 12,3,3,0,0
Apr 13,3,3,0,0
Apr 14,3,3,0,0
Apr 15,3,3,0,0
Apr 16,3,3,0,0
Apr 17,3,3,0,0
Apr 18,3,3,0,0
Apr 19,5,5,0,0
Apr 20,5,5,0,0
Apr 21,5,5,0,0
Apr 22,5,5,0,0
Apr 23,5,5,0,0
Apr 24,5,5,0,0
Apr 25,5,5,0,0
Apr 26,5,5,0,0
Apr 27,5,5,0,0
Apr 28,5,5,0,0
Apr 29,5,5,0,0
Apr 30,5,5,0,0
May 01,6,6,0,0
May 02,6,6,0,0
May 03,6,6,0,0
May 04,6,6,0,0
May 05,6,6,0,0
May 06,6,6,0,0
May 07,6,6,0,0
May 08,6,6,0,0
May 09,6,6,0,0
May 10,6,6,0,0
May 11,6,6,0,0
May 12,6,6,0,0
May 13,6,0,0,6
May 14,6,0,0,6
May 15,6,0,0,6
May 16,6,0,0,6
May 17,6,0,0,6
May 18,6,0,0,6
May 19,6,0,0,6
May 20,6,0,0,6
May 21,6,0,0,6
May 22,6,0,0,6
May 23,6,0,0,6
May 24,6,0,0,6
May 25,6,0,0,6
May 26,6,0,0,6
May 27,6,0,0,6
May 28,6,0,0,6
May 29,6,0,0,6
May 30,6,0,0,6
May 31,7,0,0,7
Jun 01,7,0,0,7
Jun 02,7,0,0,7
Jun 03,7,0,0,7
Jun 04,7,0,0,7
Jun 05,7,0,0,7
Jun 06,7,0,0,7
Jun 07,7,0,0,7
Jun 08,7,0,0,7
Jun 09,7,0,0,7
Jun 10,7,0,0,7
Jun 11,7,0,0,7
Jun 12,7,0,0,7
Jun 13,7,0,0,7
Jun 14,7,0,0,7
Jun 15,7,0,0,7
Jun 16,7,0,0,7
Jun 17,7,0,0,7
Jun 18,7,0,0,7
Jun 19,7,0,0,7
Jun 20,7,0,0,7
Jun 21,7,0,0,7
Jun 22,7,0,0,7
Jun 23,7,0,0,7
Jun 24,7,0,0,7
Jun 25,7,0,0,7
Jun 26,7,0,0,7
Jun 27,7,0,0,7
Jun 28,7,0,0,7
Jun 29,7,0,0,7
Jun 30,7,0,0,7
Jul 01,7,0,0,7
Jul 02,7,0,0,7
Jul 03,7,0,0,7
Jul 04,7,0,0,7
Jul 05,7,0,0,7
Jul 06,7,0,0,7
Jul 07,7,0,0,7
Jul 08,7,0,0,7
Jul 09,7,0,0,7
Jul 10,7,0,0,7
Jul 11,7,0,0,7
Jul 12,7,0,0,7
Jul 13,7,0,0,7
Jul 14,7,0,0,7
Jul 15,9,2,0,7
Jul 16,9,2,0,7
Jul 17,10,3,0,7
Jul 18,10,3,0,7
Jul 19,10,3,0,7
Jul 20,10,3,0,7
Jul 21,10,3,0,7
Jul 22,10,3,0,7
Jul 23,10,3,0,7
Jul 24,11,4,0,7
Jul 25,11,4,0,7
Jul 26,11,4,0,7
Jul 27,11,4,0,7
Jul 28,11,4,0,7
Jul 29,11,4,0,7
Jul 30,11,4,0,7
Jul 31,11,4,0,7
Aug 01,11,4,0,7
Aug 02,13,6,0,7
Aug 03,13,6,0,7
Aug 04,13,6,0,7
Aug 05,13,6,0,7
Aug 06,13,6,0,7
Aug 07,13,6,0,7
Aug 08,13,6,0,7
Aug 09,13,6,0,7
Aug 10,13,6,0,7
Aug 11,13,6,0,7
Aug 12,13,6,0,7
Aug 13,13,6,0,7
Aug 14,13,6,0,7
Aug 15,13,6,0,7
Aug 16,13,6,0,7
Aug 17,13,6,0,7
Aug 18,13,6,0,7
Aug 19,13,6,0,7
Aug 20,13,6,0,7
