Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,2,2,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,3,3,0,0
Mar 27,3,3,0,0
Mar 28,3,3,0,0
Mar 29,3,3,0,0
Mar 30,5,5,0,0
Mar 31,7,7,0,0
Apr 01,7,7,0,0
Apr 02,8,8,0,0
Apr 03,8,8,0,0
Apr 04,9,9,0,0
Apr 05,9,9,0,0
Apr 06,9,9,0,0
Apr 07,10,8,0,2
Apr 08,10,8,0,2
Apr 09,11,9,0,2
Apr 10,11,9,0,2
Apr 11,11,9,0,2
Apr 12,18,16,0,2
Apr 13,23,21,0,2
Apr 14,23,21,0,2
Apr 15,23,21,0,2
Apr 16,27,22,0,5
Apr 17,27,22,0,5
Apr 18,33,25,0,8
Apr 19,33,25,0,8
Apr 20,33,25,0,8
Apr 21,33,25,0,8
Apr 22,33,25,0,8
Apr 23,33,25,0,8
Apr 24,40,32,0,8
Apr 25,46,31,0,15
Apr 26,46,31,0,15
Apr 27,46,31,0,15
Apr 28,52,31,2,21
Apr 29,52,31,2,21
Apr 30,73,35,5,38
May 01,73,35,5,38
May 02,117,68,10,49
May 03,117,68,10,49
May 04,117,68,10,49
May 05,170,110,17,60
May 06,170,110,17,60
May 07,253,176,27,77
May 08,260,182,28,78
May 09,322,238,31,84
May 10,322,238,31,84
May 11,322,238,31,84
May 12,357,241,40,116
May 13,372,252,42,120
May 14,399,270,46,129
May 15,428,292,48,136
May 16,474,313,50,161
May 17,503,333,53,170
May 18,519,349,53,170
May 19,545,350,56,195
May 20,565,331,57,234
May 21,588,344,58,244
May 22,611,357,58,254
May 23,648,384,60,264
May 24,675,400,60,275
May 25,687,382,61,305
May 26,700,335,62,365
May 27,715,292,64,423
May 28,726,248,65,478
May 29,759,250,65,509
May 30,759,224,65,535
May 31,778,222,65,556
Jun 01,790,185,66,605
Jun 02,803,175,66,628
Jun 03,820,164,66,656
Jun 04,828,129,66,699
Jun 05,836,111,68,725
Jun 06,836,95,69,741
Jun 07,837,96,69,741
Jun 08,839,84,70,755
Jun 09,844,67,71,777
Jun 10,846,68,72,778
Jun 11,848,70,72,778
Jun 12,848,65,72,783
Jun 13,848,58,72,790
Jun 14,850,57,73,793
Jun 15,850,57,73,793
Jun 16,853,59,74,794
Jun 17,854,59,74,795
Jun 18,854,47,74,807
Jun 19,858,42,74,816
Jun 20,858,38,74,820
Jun 21,858,32,74,826
Jun 22,858,29,74,829
Jun 23,860,29,74,831
Jun 24,860,16,74,844
Jun 25,863,15,74,848
Jun 26,865,13,74,852
Jun 27,865,13,74,852
Jun 28,866,12,74,854
Jun 29,866,11,74,855
Jun 30,866,11,74,855
Jul 01,866,7,74,859
Jul 02,868,9,74,859
Jul 03,871,11,74,860
Jul 04,871,10,74,861
Jul 05,872,11,74,861
Jul 06,872,11,74,861
Jul 07,873,11,74,862
Jul 08,873,11,74,862
Jul 09,873,11,74,862
Jul 10,874,11,74,863
Jul 11,874,10,74,864
Jul 12,880,15,75,865
Jul 13,880,13,75,867
Jul 14,884,11,75,873
Jul 15,885,11,75,874
Jul 16,886,12,75,874
Jul 17,887,12,75,875
Jul 18,889,14,75,875
Jul 19,889,13,75,876
Jul 20,889,13,75,876
Jul 21,889,11,75,878
Jul 22,889,9,75,880
Jul 23,915,35,75,880
Jul 24,915,35,75,880
Jul 25,915,30,75,885
Jul 26,915,30,75,885
Jul 27,922,37,75,885
Jul 28,926,41,75,885
Jul 29,926,38,75,888
Jul 30,935,47,75,888
Jul 31,936,48,75,888
Aug 01,936,48,75,888
Aug 02,936,48,75,888
Aug 03,936,47,75,889
Aug 04,938,49,75,889
Aug 05,939,29,75,910
Aug 06,942,28,76,914
Aug 07,942,28,76,914
Aug 08,942,27,76,915
Aug 09,944,29,76,915
Aug 10,945,26,76,919
Aug 11,946,11,76,935
Aug 12,949,14,76,935
Aug 13,949,13,76,936
Aug 14,951,13,76,938
Aug 15,952,12,76,940
Aug 16,956,15,76,941
Aug 17,959,18,76,941
Aug 18,970,29,76,941
Aug 19,971,27,76,944
Aug 20,972,27,76,945
