Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,2,2,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,3,3,0,0
Mar 27,3,3,0,0
Mar 28,3,3,0,0
Mar 29,3,3,0,0
Mar 30,5,5,0,0
Mar 31,7,7,0,0
Apr 01,7,7,0,0
Apr 02,8,8,0,0
Apr 03,8,8,0,0
Apr 04,9,9,0,0
Apr 05,9,9,0,0
Apr 06,9,9,0,0
Apr 07,10,8,0,2
Apr 08,10,8,0,2
Apr 09,11,9,0,2
Apr 10,11,9,0,2
Apr 11,11,9,0,2
Apr 12,18,16,0,2
Apr 13,23,21,0,2
Apr 14,23,21,0,2
Apr 15,23,21,0,2
Apr 16,27,22,0,5
Apr 17,27,22,0,5
Apr 18,33,25,0,8
Apr 19,33,25,0,8
Apr 20,33,25,0,8
Apr 21,33,25,0,8
Apr 22,33,25,0,8
Apr 23,33,25,0,8
Apr 24,40,32,0,8
Apr 25,46,31,0,15
Apr 26,46,31,0,15
Apr 27,46,31,0,15
Apr 28,52,31,2,21
Apr 29,52,31,2,21
Apr 30,73,35,5,38
May 01,73,35,5,38
May 02,117,68,10,49
May 03,117,68,10,49
May 04,117,68,10,49
May 05,170,110,17,60
May 06,170,110,17,60
May 07,253,176,27,77
May 08,260,182,28,78
May 09,322,238,31,84
May 10,322,238,31,84
May 11,322,238,31,84
May 12,357,241,40,116
May 13,372,252,42,120
May 14,399,270,46,129
May 15,428,292,48,136
May 16,474,313,50,161
May 17,503,333,53,170
May 18,519,349,53,170
May 19,545,350,56,195
May 20,565,331,57,234
May 21,588,344,58,244
May 22,611,357,58,254
May 23,648,384,60,264
May 24,675,400,60,275
May 25,687,382,61,305
May 26,700,335,62,365
May 27,715,292,64,423
