Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,1,1,0,0
Mar 10,2,2,0,0
Mar 11,2,2,0,0
Mar 12,3,3,0,0
Mar 13,3,3,0,0
Mar 14,3,3,0,0
Mar 15,3,3,0,0
Mar 16,6,6,0,0
Mar 17,6,6,0,0
Mar 18,7,7,0,0
Mar 19,11,11,0,0
Mar 20,12,12,0,0
Mar 21,32,32,0,0
Mar 22,32,32,0,0
Mar 23,36,36,0,0
Mar 24,36,36,0,0
Mar 25,46,46,0,0
Mar 26,66,65,1,1
Mar 27,88,87,1,1
Mar 28,97,96,1,1
Mar 29,108,106,2,2
Mar 30,141,139,2,2
Mar 31,141,138,3,3
Apr 01,172,169,3,3
Apr 02,193,190,3,3
Apr 03,232,215,4,17
Apr 04,262,244,5,18
Apr 05,309,276,6,33
Apr 06,323,289,7,34
Apr 07,335,294,7,41
Apr 08,351,305,8,46
Apr 09,361,313,8,48
Apr 10,398,349,9,49
Apr 11,407,350,9,57
Apr 12,431,374,9,57
Apr 13,436,379,9,57
Apr 14,440,379,13,61
Apr 15,447,363,15,84
Apr 16,457,365,19,92
Apr 17,470,377,20,93
Apr 18,484,390,21,94
Apr 19,488,394,21,94
Apr 20,488,391,24,97
Apr 21,496,216,24,280
Apr 22,498,185,28,313
Apr 23,521,197,29,324
Apr 24,523,194,34,329
Apr 25,525,158,35,367
Apr 26,525,158,35,367
Apr 27,525,138,35,387
Apr 28,530,142,36,388
Apr 29,537,113,38,424
Apr 30,537,111,40,426
May 01,538,92,40,446
May 02,544,98,40,446
May 03,544,98,40,446
May 04,544,98,40,446
May 05,545,99,40,446
May 06,545,99,40,446
May 07,545,75,40,470
May 08,545,57,41,488
May 09,545,57,41,488
May 10,545,57,41,488
May 11,546,53,41,493
May 12,547,50,42,497
May 13,548,49,43,499
May 14,549,50,43,499
May 15,549,49,43,500
May 16,554,53,43,501
May 17,554,53,43,501
May 18,555,37,43,518
May 19,555,32,44,523
May 20,558,21,45,537
May 21,558,5,45,553
May 22,558,5,45,553
May 23,558,5,45,553
May 24,558,-4,45,562
May 25,559,-3,45,562
May 26,559,2,45,557
May 27,560,3,45,557
