Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,1,1,0,0
Mar 04,3,3,0,0
Mar 05,4,4,0,0
Mar 06,5,5,0,0
Mar 07,7,7,0,0
Mar 08,11,11,0,0
Mar 09,15,15,0,0
Mar 10,20,20,0,0
Mar 11,27,27,0,0
Mar 12,39,39,0,0
Mar 13,51,51,0,0
Mar 14,72,72,0,0
Mar 15,88,88,0,0
Mar 16,183,183,0,0
Mar 17,236,236,0,0
Mar 18,279,279,0,0
Mar 19,401,401,0,0
Mar 20,509,503,0,6
Mar 21,630,621,1,9
Mar 22,741,732,1,9
Mar 23,874,861,2,13
Mar 24,1080,1061,2,19
Mar 25,1337,1312,3,25
Mar 26,1529,1503,4,26
Mar 27,1885,1837,5,48
Mar 28,2235,2168,6,67
Mar 29,2504,2422,7,82
Mar 30,2867,2703,8,164
Mar 31,3205,3036,13,169
Apr 01,3548,3296,18,252
Apr 02,3985,3630,20,355
Apr 03,4375,3923,25,452
Apr 04,4871,4312,31,559
Apr 05,5234,4577,39,657
Apr 06,5637,4867,42,770
Apr 07,5989,5042,49,947
Apr 08,6492,5322,55,1170
Apr 09,6991,5652,65,1339
Apr 10,7610,5965,74,1645
Apr 11,8109,6162,83,1947
Apr 12,8444,6294,91,2150
Apr 13,8809,6349,93,2460
Apr 14,9268,6518,104,2750
Apr 15,9685,6642,106,3043
Apr 16,10310,6893,118,3417
Apr 17,10831,7080,130,3751
Apr 18,11390,7214,141,4176
Apr 19,11809,7322,149,4487
Apr 20,12299,7467,156,4832
Apr 21,12679,7545,165,5134
Apr 22,13222,7656,180,5566
Apr 23,13826,7833,189,5993
Apr 24,14404,7881,196,6523
Apr 25,15050,8100,204,6950
Apr 26,15604,8367,213,7237
Apr 27,16168,8618,223,7550
Apr 28,16814,8871,233,7943
Apr 29,17423,9123,243,8300
Apr 30,18755,9920,255,8835
May 01,19908,10627,263,9281
May 02,21578,11728,278,9850
May 03,23015,12681,293,10334
May 04,24162,13443,304,10719
May 05,25769,14749,310,11020
May 06,26977,15471,317,11506
May 07,28771,16785,322,11986
May 08,30399,17907,332,12492
May 09,31858,18848,343,13010
May 10,33786,20322,352,13464
May 11,35187,21218,364,13969
May 12,37127,22624,378,14503
May 13,40240,24985,390,15255
May 14,43352,27282,415,16070
May 15,46280,29222,444,17058
May 16,48487,29998,475,18489
May 17,51241,31520,508,19721
May 18,53907,33202,540,20705
May 19,58027,35945,575,22082
May 20,62753,39634,615,23119
May 21,67392,42734,666,24658
May 22,72396,46342,712,26054
May 23,76534,49227,761,27307
May 24,80875,51915,812,28960
May 25,86604,56441,861,30163
May 26,91243,59416,912,31827
May 27,96308,61816,952,34492
May 28,101755,64598,1007,37157
May 29,106079,66413,1068,39666
May 30,111018,69459,1128,41559
May 31,116671,72752,1192,43919
Jun 01,123074,76869,1259,46205
Jun 02,127202,80912,1344,46290
Jun 03,132986,45371,1442,87615
Jun 04,138445,46163,1534,92282
Jun 05,143369,46100,1638,97269
