Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,1,1,0,0
Mar 04,3,3,0,0
Mar 05,4,4,0,0
Mar 06,5,5,0,0
Mar 07,7,7,0,0
Mar 08,10,10,0,0
Mar 09,13,13,0,0
Mar 10,17,17,0,0
Mar 11,23,23,0,0
Mar 12,33,33,0,0
Mar 13,43,43,0,0
Mar 14,61,61,0,0
Mar 15,75,75,0,0
Mar 16,156,156,0,0
Mar 17,201,201,0,0
Mar 18,238,238,0,0
Mar 19,342,342,0,0
Mar 20,434,428,0,6
Mar 21,537,528,1,9
Mar 22,632,623,1,9
Mar 23,746,733,2,13
Mar 24,922,903,2,19
Mar 25,1142,1117,3,25
Mar 26,1306,1280,4,26
Mar 27,1610,1562,5,48
Mar 28,1909,1842,6,67
Mar 29,2139,2057,7,82
Mar 30,2449,2285,8,164
Mar 31,2738,2570,12,168
Apr 01,3031,2781,16,250
Apr 02,3404,3051,18,353
Apr 03,3737,3288,22,449
Apr 04,4161,3606,27,555
Apr 05,4471,3819,34,652
Apr 06,4815,4050,37,765
Apr 07,5116,4175,43,941
Apr 08,5546,4383,48,1163
Apr 09,5972,4641,57,1331
Apr 10,6501,4865,65,1636
Apr 11,6927,4990,73,1937
Apr 12,7213,5074,80,2139
Apr 13,7525,5076,82,2449
Apr 14,7917,5179,92,2738
Apr 15,8273,5242,94,3031
Apr 16,8807,5403,105,3404
Apr 17,9252,5515,116,3737
Apr 18,9730,5569,126,4161
Apr 19,10088,5617,133,4471
Apr 20,10507,5692,139,4815
Apr 21,10832,5716,147,5116
Apr 22,11296,5750,160,5546
Apr 23,11812,5840,168,5972
Apr 24,12306,5805,174,6501
Apr 25,12858,5931,181,6927
Apr 26,13331,6118,189,7213
Apr 27,13813,6288,198,7525
Apr 28,14365,6448,207,7917
Apr 29,14885,6612,216,8273
Apr 30,16023,7216,227,8807
May 01,17008,7756,234,9252
May 02,18435,8616,247,9819
May 03,19663,9362,260,10301
May 04,20643,9958,270,10685
May 05,22016,11031,275,10985
May 06,23048,11578,281,11470
May 07,24581,12632,285,11949
May 08,25972,13518,294,12454
May 09,27219,14248,304,12971
May 10,28866,15442,312,13424
May 11,30063,16135,323,13928
May 12,31721,17261,335,14460
May 13,34381,19170,346,15211
May 14,37040,21017,368,16023
May 15,39542,22534,394,17008
May 16,41428,22993,421,18435
May 17,43781,24118,450,19663
May 18,46059,25416,478,20643
May 19,49579,27563,509,22016
May 20,53617,30569,544,23048
May 21,57581,33000,589,24581
May 22,61857,35885,630,25972
May 23,65393,38174,673,27219
May 24,69102,40236,718,28866
May 25,73997,43934,761,30063
May 26,77961,46240,806,31721
May 27,82289,47908,841,34381
