Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Jan 22,571,554,17,17
Jan 23,830,771,25,59
Jan 24,1287,1208,41,79
Jan 25,1975,1870,56,105
Jan 26,2744,2613,80,131
Jan 27,4515,4349,106,166
Jan 28,5974,5739,132,235
Jan 29,7711,7417,170,294
Jan 30,9692,9308,213,384
Jan 31,11791,11289,259,502
Feb 01,14380,13748,304,632
Feb 02,17205,16369,361,836
Feb 03,20440,19383,425,1057
Feb 04,24324,22942,490,1382
Feb 05,28018,26302,563,1716
Feb 06,31161,28985,636,2176
Feb 07,34546,31774,722,2772
Feb 08,37198,33738,811,3460
Feb 09,40171,35982,908,4189
Feb 10,42638,37626,1016,5012
Feb 11,44653,38791,1113,5862
Feb 12,58761,51591,1259,7170
Feb 13,63851,55748,1380,8103
Feb 14,66492,56873,1523,9619
Feb 15,68500,57416,1665,11084
Feb 16,70548,57934,1770,12614
Feb 17,72436,58016,1868,14420
Feb 18,74185,57805,2004,16380
Feb 19,74576,56301,2118,18275
Feb 20,75465,54921,2236,20544
Feb 21,76288,53284,2345,23004
Feb 22,76936,52093,2442,24843
Feb 23,77150,49824,2592,27326
Feb 24,77658,47765,2663,29893
Feb 25,78064,45600,2715,32464
Feb 26,78497,43258,2744,35239
Feb 27,78824,39919,2788,38905
Feb 28,79251,37414,2835,41837
Feb 29,79824,35129,2870,44695
Mar 01,80026,32616,2912,47410
Mar 02,80151,30004,2943,50147
Mar 03,80270,27423,2981,52847
Mar 04,80409,25353,3012,55056
Mar 05,80552,23784,3042,56768
Mar 06,80651,22179,3070,58472
Mar 07,80695,20533,3097,60162
Mar 08,80735,19016,3119,61719
Mar 09,80754,17721,3136,63033
Mar 10,80778,16136,3158,64642
Mar 11,80793,14831,3169,65962
Mar 12,80813,13524,3176,67289
Mar 13,80824,12088,3189,68736
Mar 14,80844,10733,3199,70111
Mar 15,80860,9893,3213,70967
Mar 16,80881,8967,3226,71914
Mar 17,80894,8056,3237,72838
Mar 18,80928,7263,3245,73665
Mar 19,80967,6569,3248,74398
Mar 20,81008,6013,3255,74995
Mar 21,81054,5353,3261,75701
Mar 22,81093,5120,3270,75973
Mar 23,81171,4735,3277,76436
Mar 24,81218,4287,3281,76931
Mar 25,81285,3947,3287,77338
Mar 26,81340,3460,3292,77880
Mar 27,81394,3128,3295,78266
Mar 28,81439,2691,3300,78748
Mar 29,81439,2691,3300,78748
Mar 30,81518,2161,3305,79357
Mar 31,81554,2004,3312,79550
Apr 01,81589,1863,3318,79726
Apr 02,81620,1727,3322,79893
Apr 03,81639,1558,3326,80081
Apr 04,81669,1376,3329,80293
Apr 05,81708,1299,3331,80409
Apr 06,81740,1242,3331,80498
Apr 07,81802,1190,3333,80612
Apr 08,81865,1160,3335,80705
Apr 09,81907,1116,3336,80791
Apr 10,81953,1089,3339,80864
Apr 11,82052,1138,3339,80914
Apr 12,82160,1156,3341,81004
Apr 13,82249,1170,3341,81079
