Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,0,0,0,0
Apr 03,0,0,0,0
Apr 04,0,0,0,0
Apr 05,0,0,0,0
Apr 06,0,0,0,0
Apr 07,0,0,0,0
Apr 08,0,0,0,0
Apr 09,0,0,0,0
Apr 10,0,0,0,0
Apr 11,0,0,0,0
Apr 12,0,0,0,0
Apr 13,0,0,0,0
Apr 14,0,0,0,0
Apr 15,0,0,0,0
Apr 16,0,0,0,0
Apr 17,0,0,0,0
Apr 18,0,0,0,0
Apr 19,0,0,0,0
Apr 20,0,0,0,0
Apr 21,0,0,0,0
Apr 22,0,0,0,0
Apr 23,0,0,0,0
Apr 24,0,0,0,0
Apr 25,0,0,0,0
Apr 26,0,0,0,0
Apr 27,0,0,0,0
Apr 28,0,0,0,0
Apr 29,0,0,0,0
Apr 30,1,1,0,0
May 01,1,1,0,0
May 02,3,3,0,0
May 03,3,3,0,0
May 04,3,3,0,0
May 05,3,3,0,0
May 06,8,7,1,1
May 07,8,7,1,1
May 08,8,7,1,1
May 09,11,10,1,1
May 10,11,10,1,1
May 11,11,10,1,1
May 12,11,10,1,1
May 13,11,10,1,1
May 14,11,7,1,4
May 15,11,7,1,4
May 16,11,7,1,4
May 17,11,7,1,4
May 18,11,7,1,4
May 19,11,7,1,4
May 20,34,25,1,9
May 21,34,25,1,9
May 22,78,59,1,19
May 23,78,59,1,19
May 24,87,65,1,22
May 25,87,65,1,22
May 26,87,65,1,22
May 27,87,61,2,26
May 28,87,61,2,26
May 29,87,61,2,26
May 30,106,78,2,28
May 31,106,78,2,28
Jun 01,106,78,2,28
Jun 02,132,103,2,29
Jun 03,132,103,2,29
Jun 04,132,75,2,57
Jun 05,132,75,2,57
Jun 06,141,72,2,69
Jun 07,141,72,2,69
Jun 08,141,72,2,69
Jun 09,141,72,2,69
Jun 10,162,63,2,99
Jun 11,162,63,2,99
