Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,3,3,0,0
Mar 20,3,3,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,4,4,0,0
Mar 24,4,4,0,0
Mar 25,4,4,0,0
Mar 26,4,4,0,0
Mar 27,4,4,0,0
Mar 28,4,4,0,0
Mar 29,19,19,0,0
Mar 30,19,19,0,0
Mar 31,19,19,0,0
Apr 01,22,20,2,2
Apr 02,22,18,2,4
Apr 03,22,18,2,4
Apr 04,22,18,2,4
Apr 05,45,38,5,7
Apr 06,45,38,5,7
Apr 07,45,38,5,7
Apr 08,45,38,5,7
Apr 09,60,50,5,10
Apr 10,60,50,5,10
Apr 11,60,50,5,10
Apr 12,60,50,5,10
Apr 13,60,50,5,10
