Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,3,3,0,0
Mar 20,3,3,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,4,4,0,0
Mar 24,4,4,0,0
Mar 25,4,4,0,0
Mar 26,4,4,0,0
Mar 27,4,4,0,0
Mar 28,4,4,0,0
Mar 29,19,19,0,0
Mar 30,19,19,0,0
Mar 31,19,19,0,0
Apr 01,22,20,2,2
Apr 02,22,18,2,4
Apr 03,22,18,2,4
Apr 04,22,18,2,4
Apr 05,45,38,5,7
Apr 06,45,38,5,7
Apr 07,45,38,5,7
Apr 08,45,38,5,7
Apr 09,60,50,5,10
Apr 10,60,50,5,10
Apr 11,60,50,5,10
Apr 12,60,50,5,10
Apr 13,60,50,5,10
Apr 14,74,59,5,15
Apr 15,117,101,5,16
Apr 16,117,101,5,16
Apr 17,143,126,6,17
Apr 18,143,126,6,17
Apr 19,143,126,6,17
Apr 20,160,138,6,22
Apr 21,165,143,6,22
Apr 22,186,164,6,22
Apr 23,186,164,6,22
Apr 24,200,175,6,25
Apr 25,200,173,8,27
Apr 26,200,173,8,27
Apr 27,207,180,8,27
Apr 28,207,180,8,27
Apr 29,207,180,8,27
Apr 30,220,192,9,28
May 01,229,195,9,34
May 02,229,195,9,34
May 03,229,195,9,34
May 04,236,200,10,36
May 05,236,200,10,36
May 06,264,224,10,40
May 07,264,224,10,40
May 08,274,231,10,43
May 09,274,231,10,43
May 10,274,231,10,43
May 11,333,269,11,64
May 12,333,269,11,64
May 13,333,269,11,64
May 14,391,289,15,102
May 15,391,289,15,102
May 16,391,289,15,102
May 17,391,289,15,102
May 18,412,287,15,125
May 19,420,273,15,147
May 20,420,273,15,147
May 21,469,316,16,153
May 22,469,316,16,153
May 23,487,324,16,163
May 24,487,324,16,163
May 25,487,324,16,163
May 26,487,324,16,163
May 27,571,391,19,180
May 28,571,391,19,180
May 29,571,391,19,180
May 30,571,391,19,180
May 31,611,412,20,199
Jun 01,611,412,20,199
Jun 02,611,412,20,199
Jun 03,611,412,20,199
Jun 04,611,412,20,199
Jun 05,635,433,20,202
Jun 06,683,451,22,232
Jun 07,683,451,22,232
Jun 08,683,451,22,232
Jun 09,728,483,24,245
Jun 10,728,483,24,245
Jun 11,728,483,24,245
Jun 12,728,483,24,245
Jun 13,728,483,24,245
Jun 14,728,483,24,245
Jun 15,883,465,27,418
Jun 16,883,465,27,418
Jun 17,883,465,27,418
Jun 18,883,465,27,418
Jun 19,883,465,27,418
Jun 20,883,465,27,418
Jun 21,883,465,27,418
Jun 22,1087,594,37,493
Jun 23,1087,594,37,493
Jun 24,1087,594,37,493
Jun 25,1087,594,37,493
Jun 26,1087,594,37,493
Jun 27,1087,594,37,493
Jun 28,1087,594,37,493
Jun 29,1087,594,37,493
Jun 30,1087,594,37,493
Jul 01,1382,855,41,527
Jul 02,1382,855,41,527
Jul 03,1557,1012,44,545
Jul 04,1557,1012,44,545
Jul 05,1557,1012,44,545
Jul 06,1557,1012,44,545
Jul 07,1557,1012,44,545
Jul 08,1821,1249,47,572
Jul 09,1821,1249,47,572
Jul 10,2028,1392,47,636
Jul 11,2028,1392,47,636
Jul 12,2028,1392,47,636
Jul 13,2028,1392,47,636
Jul 14,2028,1392,47,636
Jul 15,2222,1586,47,636
Jul 16,2358,1721,48,637
Jul 17,2633,1958,49,675
Jul 18,2633,1958,49,675
Jul 19,2633,1958,49,675
Jul 20,2851,2135,50,716
Jul 21,2851,2135,50,716
Jul 22,2851,2135,50,716
Jul 23,2851,2135,50,716
Jul 24,3038,2231,51,807
Jul 25,3038,2231,51,807
Jul 26,3038,2231,51,807
Jul 27,3200,2317,54,883
Jul 28,3200,2317,54,883
Jul 29,3200,2317,54,883
Jul 30,3200,2317,54,883
Jul 31,3200,2317,54,883
Aug 01,3200,2317,54,883
Aug 02,3200,2317,54,883
Aug 03,3546,1899,58,1647
Aug 04,3546,1899,58,1647
Aug 05,3546,1899,58,1647
Aug 06,3546,1899,58,1647
Aug 07,3637,1990,58,1647
Aug 08,3664,2017,58,1647
Aug 09,3664,2017,58,1647
Aug 10,3664,2017,58,1647
Aug 11,3745,2060,60,1685
Aug 12,3745,2060,60,1685
Aug 13,3745,2060,60,1685
Aug 14,3745,2060,60,1685
Aug 15,3745,2060,60,1685
Aug 16,3831,2130,76,1701
Aug 17,3831,2130,76,1701
Aug 18,3831,2130,76,1701
Aug 19,3850,2148,77,1702
Aug 20,3850,2148,77,1702
