Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,3,3,0,0
Mar 12,3,3,0,0
Mar 13,4,4,0,0
Mar 14,4,4,0,0
Mar 15,4,4,0,0
Mar 16,4,4,0,0
Mar 17,7,7,0,0
Mar 18,10,9,1,1
Mar 19,11,10,1,1
Mar 20,21,20,1,1
Mar 21,21,20,1,1
Mar 22,35,34,1,1
Mar 23,40,39,1,1
Mar 24,48,46,1,2
Mar 25,57,55,1,2
Mar 26,67,64,2,3
Mar 27,80,74,2,6
Mar 28,119,112,3,7
Mar 29,139,132,3,7
Mar 30,170,162,4,8
Mar 31,186,172,6,14
Apr 01,212,194,6,18
Apr 02,233,214,6,19
Apr 03,269,248,6,21
Apr 04,288,267,6,21
Apr 05,320,297,8,23
Apr 06,350,323,9,27
Apr 07,396,358,11,38
Apr 08,457,418,12,39
Apr 09,515,472,15,43
Apr 10,564,498,15,66
Apr 11,620,527,16,93
Apr 12,669,559,18,110
Apr 13,726,584,21,142
