Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,2,2,0,0
Mar 15,2,2,0,0
Mar 16,2,2,0,0
Mar 17,3,3,0,0
Mar 18,3,3,0,0
Mar 19,3,2,1,1
Mar 20,3,2,1,1
Mar 21,3,2,1,1
Mar 22,3,2,1,1
Mar 23,4,3,1,1
Mar 24,6,5,1,1
Mar 25,6,3,1,3
Mar 26,7,4,1,3
Mar 27,8,5,1,3
Mar 28,8,5,1,3
Mar 29,8,5,1,3
Mar 30,11,8,1,3
Mar 31,11,8,1,3
Apr 01,11,7,1,4
Apr 02,11,7,1,4
Apr 03,11,7,1,4
Apr 04,11,5,1,6
Apr 05,11,5,1,6
Apr 06,13,7,1,6
Apr 07,13,5,1,8
Apr 08,14,6,1,8
Apr 09,14,6,1,8
Apr 10,14,6,1,8
Apr 11,14,6,1,8
Apr 12,14,5,1,9
Apr 13,14,5,1,9
Apr 14,14,3,1,11
Apr 15,14,3,1,11
Apr 16,14,3,1,11
Apr 17,14,3,1,11
Apr 18,14,2,1,12
Apr 19,14,2,1,12
Apr 20,14,2,1,12
Apr 21,14,2,1,12
Apr 22,14,2,1,12
Apr 23,14,2,1,12
Apr 24,16,4,1,12
Apr 25,16,4,1,12
Apr 26,16,4,1,12
Apr 27,16,4,1,12
Apr 28,16,4,1,12
Apr 29,16,2,1,14
Apr 30,16,2,1,14
May 01,16,2,1,14
May 02,16,2,1,14
May 03,16,2,1,14
May 04,16,2,1,14
May 05,16,2,1,14
May 06,16,2,1,14
May 07,16,1,1,15
May 08,16,1,1,15
May 09,16,1,1,15
May 10,16,1,1,15
May 11,16,1,1,15
May 12,16,1,1,15
May 13,16,1,1,15
May 14,16,1,1,15
May 15,16,1,1,15
May 16,16,1,1,15
May 17,16,1,1,15
May 18,16,1,1,15
May 19,16,1,1,15
May 20,16,1,1,15
May 21,16,1,1,15
May 22,16,1,1,15
May 23,17,2,1,15
May 24,17,2,1,15
May 25,18,3,1,15
May 26,18,3,1,15
May 27,18,3,1,15
May 28,18,3,1,15
May 29,18,3,1,15
May 30,19,4,1,15
May 31,19,4,1,15
Jun 01,19,4,1,15
Jun 02,20,4,1,16
Jun 03,21,5,1,16
Jun 04,21,5,1,16
Jun 05,21,5,1,16
Jun 06,21,5,1,16
Jun 07,21,5,1,16
Jun 08,21,5,1,16
Jun 09,21,5,1,16
Jun 10,22,6,1,16
Jun 11,22,6,1,16
Jun 12,22,6,1,16
Jun 13,22,6,1,16
Jun 14,22,6,1,16
Jun 15,22,2,1,20
Jun 16,23,3,1,20
Jun 17,23,3,1,20
Jun 18,23,3,1,20
Jun 19,23,3,1,20
Jun 20,23,3,1,20
Jun 21,23,3,1,20
Jun 22,23,3,1,20
Jun 23,23,3,1,20
Jun 24,23,3,1,20
Jun 25,23,3,1,20
Jun 26,23,3,1,20
Jun 27,23,3,1,20
Jun 28,23,3,1,20
Jun 29,23,3,1,20
Jun 30,23,3,1,20
Jul 01,23,3,1,20
Jul 02,23,3,1,20
Jul 03,23,3,1,20
Jul 04,23,3,1,20
Jul 05,23,3,1,20
Jul 06,23,3,1,20
Jul 07,23,3,1,20
Jul 08,23,3,1,20
Jul 09,23,3,1,20
Jul 10,25,0,1,25
Jul 11,25,0,1,25
Jul 12,25,0,1,25
Jul 13,25,0,1,25
Jul 14,25,0,1,25
Jul 15,26,1,1,25
Jul 16,27,2,1,25
Jul 17,28,3,1,25
Jul 18,28,3,1,25
Jul 19,28,3,1,25
Jul 20,28,3,1,25
Jul 21,28,3,1,25
Jul 22,28,3,1,25
Jul 23,28,3,1,25
Jul 24,29,4,1,25
Jul 25,29,4,1,25
Jul 26,29,4,1,25
Jul 27,29,4,1,25
Jul 28,29,4,1,25
Jul 29,29,4,1,25
Jul 30,29,4,1,25
Jul 31,29,4,1,25
Aug 01,29,4,1,25
Aug 02,29,4,1,25
Aug 03,29,4,1,25
Aug 04,29,4,1,25
Aug 05,29,4,1,25
Aug 06,31,2,1,29
Aug 07,31,0,1,31
Aug 08,31,0,1,31
Aug 09,31,0,1,31
Aug 10,32,1,1,31
Aug 11,32,1,1,31
Aug 12,32,1,1,31
Aug 13,32,1,1,31
Aug 14,32,1,1,31
Aug 15,33,1,1,32
Aug 16,34,2,1,32
Aug 17,36,4,1,32
Aug 18,36,4,1,32
Aug 19,36,4,1,32
Aug 20,36,4,1,32
