Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,3,3,0,0
Mar 02,3,3,0,0
Mar 03,5,5,0,0
Mar 04,6,6,0,0
Mar 05,9,9,0,0
Mar 06,20,20,0,0
Mar 07,27,27,0,0
Mar 08,33,33,0,0
Mar 09,39,39,0,0
Mar 10,64,64,0,0
Mar 11,95,95,0,0
Mar 12,117,117,0,0
Mar 13,142,142,0,0
Mar 14,190,190,0,0
Mar 15,299,299,0,0
Mar 16,384,381,0,3
Mar 17,452,449,0,3
Mar 18,562,559,0,3
Mar 19,768,765,0,3
Mar 20,892,888,0,4
Mar 21,1051,1045,0,6
Mar 22,1166,1159,1,7
Mar 23,1292,1284,1,8
Mar 24,1477,1464,3,13
Mar 25,1769,1753,6,16
Mar 26,2028,2009,9,19
Mar 27,2405,2385,9,20
Mar 28,2668,2646,11,22
Mar 29,2828,2801,16,27
Mar 30,3012,2964,23,48
Mar 31,3320,3244,31,76
Apr 01,3603,3503,39,100
Apr 02,3872,3761,44,111
Apr 03,4206,4081,53,125
Apr 04,4490,4353,59,137
Apr 05,4607,4444,67,163
Apr 06,4843,4644,78,199
Apr 07,5039,4779,88,260
Apr 08,5334,5002,99,332
Apr 09,5591,5178,112,413
Apr 10,5754,5289,119,465
Apr 11,5924,5384,129,540
Apr 12,6013,5411,138,602
Apr 13,6081,5419,143,662
Apr 14,6163,5360,161,803
Apr 15,6323,5338,166,985
Apr 16,6455,5314,169,1141
Apr 17,6571,5224,173,1347
Apr 18,6676,5268,181,1408
Apr 19,6768,5284,186,1484
Apr 20,6922,5169,194,1753
Apr 21,7055,5101,201,1954
Apr 22,7154,4957,208,2197
Apr 23,7209,4847,210,2362
Apr 24,7295,4710,214,2585
Apr 25,7374,4703,218,2671
Apr 26,7426,4661,220,2765
Apr 27,7467,4418,223,3049
Apr 28,7526,4351,227,3175
Apr 29,7601,4266,227,3335
Apr 30,7704,4154,236,3550
May 01,7759,4147,240,3612
May 02,7777,4071,245,3706
May 03,7803,3968,248,3835
May 04,7841,3782,252,4059
May 05,7918,3655,257,4263
May 06,7996,3529,262,4467
May 07,8053,3412,270,4641
May 08,8099,3413,273,4686
May 09,8117,3394,276,4723
May 10,8145,3391,280,4754
May 11,8198,3205,282,4993
May 12,8243,3095,283,5148
May 13,8291,2954,290,5337
May 14,8373,2839,293,5534
May 15,8428,2752,295,5676
May 16,8478,2760,296,5718
May 17,8498,2738,298,5760
May 18,8609,2671,297,5938
May 19,8670,2642,302,6028
May 20,8744,2610,304,6134
May 21,8777,2545,306,6232
May 22,8836,2499,312,6337
May 23,8913,2555,314,6358
May 24,8978,2585,315,6393
May 25,9025,2526,317,6499
May 26,9073,2486,317,6587
May 27,9109,2422,317,6687
May 28,9163,2384,319,6779
May 29,9219,2400,319,6819
May 30,9253,2388,319,6865
May 31,9291,2413,320,6878
Jun 01,9325,2362,321,6963
Jun 02,9387,2378,323,7009
Jun 03,9461,2388,324,7073
Jun 04,9518,2383,326,7135
Jun 05,9552,2344,327,7208
