Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,2,2,0,0
Mar 14,2,2,0,0
Mar 15,2,2,0,0
Mar 16,3,3,0,0
Mar 17,3,3,0,0
Mar 18,7,7,0,0
Mar 19,14,14,0,0
Mar 20,18,18,0,0
Mar 21,23,22,1,1
Mar 22,30,29,1,1
Mar 23,36,34,2,2
Mar 24,45,43,2,2
Mar 25,48,46,2,2
Mar 26,51,48,3,3
Mar 27,51,46,3,5
Mar 28,65,57,6,8
Mar 29,81,71,8,10
Mar 30,81,71,8,10
Mar 31,98,88,8,10
Apr 01,109,97,9,12
Apr 02,134,118,13,16
Apr 03,148,129,16,19
Apr 04,154,133,18,21
Apr 05,154,133,18,21
Apr 06,161,138,18,23
Apr 07,180,153,18,27
Apr 08,180,153,18,27
Apr 09,180,153,18,27
Apr 10,223,187,20,36
Apr 11,223,187,20,36
Apr 12,234,198,20,36
Apr 13,235,198,20,37
