Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,2,2,0,0
Mar 14,2,2,0,0
Mar 15,2,2,0,0
Mar 16,3,3,0,0
Mar 17,3,3,0,0
Mar 18,7,7,0,0
Mar 19,14,14,0,0
Mar 20,18,18,0,0
Mar 21,23,22,1,1
Mar 22,30,29,1,1
Mar 23,36,34,2,2
Mar 24,45,43,2,2
Mar 25,48,46,2,2
Mar 26,51,48,3,3
Mar 27,51,46,3,5
Mar 28,65,57,6,8
Mar 29,81,71,8,10
Mar 30,81,71,8,10
Mar 31,98,88,8,10
Apr 01,109,97,9,12
Apr 02,134,118,13,16
Apr 03,148,129,16,19
Apr 04,154,133,18,21
Apr 05,154,133,18,21
Apr 06,161,138,18,23
Apr 07,180,153,18,27
Apr 08,180,153,18,27
Apr 09,180,153,18,27
Apr 10,223,187,20,36
Apr 11,223,187,20,36
Apr 12,234,198,20,36
Apr 13,235,198,20,37
Apr 14,241,201,20,40
Apr 15,254,212,21,42
Apr 16,267,222,22,45
Apr 17,287,239,23,48
Apr 18,307,256,25,51
Apr 19,327,276,25,51
Apr 20,332,280,25,52
Apr 21,350,290,25,60
Apr 22,359,289,25,70
Apr 23,377,305,25,72
Apr 24,394,321,25,73
Apr 25,416,339,28,77
Apr 26,442,364,28,78
Apr 27,459,381,28,78
Apr 28,471,385,30,86
Apr 29,491,402,30,89
Apr 30,572,476,31,96
May 01,604,497,32,107
May 02,674,566,33,108
May 03,674,566,33,108
May 04,682,568,34,114
May 05,705,581,34,124
May 06,797,670,35,127
May 07,863,724,36,139
May 08,863,697,36,166
May 09,937,768,39,169
May 10,991,814,41,177
May 11,1024,842,41,182
May 12,1102,912,44,190
May 13,1169,971,50,198
May 14,1242,1035,50,207
May 15,1298,1036,50,262
May 16,1455,1124,61,331
May 17,1455,1124,61,331
May 18,1538,1205,61,333
May 19,1629,1278,61,351
May 20,1731,1368,61,363
May 21,1835,1471,61,364
May 22,1945,1570,63,375
May 23,2025,1650,63,375
May 24,2141,1761,63,380
May 25,2297,1893,67,404
May 26,2403,1995,68,408
May 27,2546,2113,68,433
