Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,1,1,0,0
Feb 28,2,2,0,0
Feb 29,3,3,0,0
Mar 01,4,4,0,0
Mar 02,4,4,0,0
Mar 03,10,10,0,0
Mar 04,14,14,0,0
Mar 05,19,18,0,1
Mar 06,21,20,0,1
Mar 07,27,26,0,1
Mar 08,35,34,0,1
Mar 09,90,89,0,1
Mar 10,262,261,0,1
Mar 11,514,513,0,1
Mar 12,674,673,0,1
Mar 13,804,803,0,1
Mar 14,836,834,1,2
Mar 15,864,861,2,3
Mar 16,914,909,4,5
Mar 17,977,972,4,5
Mar 18,1057,1052,4,5
Mar 19,1151,1144,6,7
Mar 20,1255,1245,9,10
Mar 21,1326,1312,13,14
Mar 22,1395,1381,13,14
Mar 23,1460,1435,24,25
Mar 24,1591,1558,32,33
Mar 25,1724,1689,34,35
Mar 26,1877,1835,41,42
Mar 27,2046,1993,52,53
Mar 28,2201,2135,65,66
Mar 29,2395,2322,72,73
Mar 30,2577,2499,77,78
Mar 31,2860,2769,90,91
Apr 01,3107,2109,104,998
Apr 02,3386,2174,123,1212
Apr 03,3757,2425,139,1332
Apr 04,4077,2633,161,1444
Apr 05,4369,2863,179,1506
Apr 06,4681,3116,187,1565
Apr 07,5071,3377,203,1694
Apr 08,5402,3563,218,1839
Apr 09,5635,3662,237,1973
Apr 10,5819,3799,247,2020
Apr 11,5996,3781,260,2215
Apr 12,6174,3778,273,2396
Apr 13,6318,3798,285,2520
Apr 14,6511,3697,299,2814
Apr 15,6681,3624,309,3057
Apr 16,6879,3535,321,3344
Apr 17,7073,3348,336,3725
Apr 18,7242,3049,346,4193
Apr 19,7384,2888,355,4496
Apr 20,7515,2839,364,4676
Apr 21,7695,2625,370,5070
Apr 22,7912,2441,384,5471
Apr 23,8073,2295,394,5778
Apr 24,8210,2281,403,5929
Apr 25,8445,2358,418,6087
Apr 26,8575,2348,422,6227
Apr 27,8698,2312,427,6386
Apr 28,8851,2296,434,6555
Apr 29,9008,2199,443,6809
Apr 30,9158,2160,452,6998
May 01,9311,2122,460,7189
May 02,9407,2043,475,7364
May 03,9523,2052,484,7471
May 04,9670,2089,493,7581
May 05,9821,2022,503,7799
May 06,9938,1939,506,7999
May 07,10083,1858,514,8225
May 08,10218,1769,522,8449
May 09,10319,1700,526,8619
May 10,10429,1685,527,8744
May 11,10513,1658,527,8855
May 12,10591,1484,527,9107
May 13,10667,1471,533,9196
May 14,10713,1371,537,9342
May 15,10791,1295,537,9496
May 16,10858,1208,543,9650
May 17,10927,1153,547,9774
May 18,10968,1119,548,9849
May 19,11044,1077,551,9967
May 20,11117,1027,554,10090
May 21,11182,978,561,10204
May 22,11230,905,561,10325
May 23,11289,892,561,10397
May 24,11360,898,562,10462
May 25,11387,860,563,10527
May 26,11428,821,563,10607
May 27,11480,809,565,10671
May 28,11512,764,568,10748
May 29,11593,785,568,10808
May 30,11633,735,571,10898
May 31,11669,733,574,10936
Jun 01,11699,711,576,10988
Jun 02,11734,665,580,11069
Jun 03,11771,639,580,11132
Jun 04,11811,609,582,11202
Jun 05,11875,636,586,11239
Jun 06,11924,616,587,11308
Jun 07,11948,604,589,11344
Jun 08,11962,577,593,11385
Jun 09,12001,559,593,11442
Jun 10,12016,519,593,11497
Jun 11,12035,487,593,11548
