Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,11,11,0,0
Mar 26,11,11,0,0
Mar 27,12,12,0,0
Mar 28,14,14,0,0
Mar 29,18,18,0,0
Mar 30,18,18,0,0
Mar 31,30,30,0,0
Apr 01,33,33,0,0
Apr 02,40,40,0,0
Apr 03,49,41,0,8
Apr 04,50,42,0,8
Apr 05,59,50,0,9
Apr 06,90,81,0,9
Apr 07,90,81,0,9
Apr 08,135,110,0,25
Apr 09,140,111,1,29
Apr 10,150,113,1,37
Apr 11,187,149,2,38
Apr 12,214,176,2,38
Apr 13,298,255,2,43
Apr 14,363,308,2,55
Apr 15,435,362,2,73
Apr 16,591,516,2,75
Apr 17,732,654,2,78
Apr 18,732,654,2,78
Apr 19,846,742,2,104
Apr 20,846,742,2,104
Apr 21,945,831,2,114
Apr 22,974,789,2,185
Apr 23,986,732,2,254
Apr 24,999,667,2,332
Apr 25,1008,633,2,375
Apr 26,1023,610,2,413
Apr 27,1035,556,2,479
Apr 28,1072,572,2,500
Apr 29,1077,476,2,601
Apr 30,1089,445,2,644
May 01,1097,423,2,674
May 02,1112,424,2,688
May 03,1112,424,2,688
May 04,1116,401,2,715
May 05,1120,373,2,747
May 06,1124,366,3,758
May 07,1133,331,3,802
May 08,1135,308,3,827
May 09,1189,352,3,837
May 10,1210,360,3,850
May 11,1227,352,3,875
May 12,1256,367,3,889
May 13,1268,365,3,903
May 14,1284,376,3,908
May 15,1309,370,4,939
May 16,1331,377,4,954
May 17,1401,425,4,976
May 18,1518,493,7,1025
May 19,1618,578,7,1040
May 20,1828,767,9,1061
May 21,2047,982,10,1065
May 22,2270,1196,10,1074
May 23,2270,1196,10,1074
May 24,2270,1196,10,1074
May 25,2468,1375,14,1093
May 26,2468,1375,14,1093
May 27,2697,1494,18,1203
May 28,2914,1653,20,1261
May 29,2914,1653,20,1261
May 30,3194,1886,22,1308
May 31,3354,1826,24,1528
Jun 01,3569,2024,24,1545
Jun 02,3779,2147,25,1632
Jun 03,3935,2273,26,1662
Jun 04,4054,2343,26,1711
Jun 05,4123,2390,26,1733
Jun 06,4169,2328,26,1841
Jun 07,4207,2302,28,1905
Jun 08,4278,2234,31,2044
Jun 09,4331,2158,34,2173
Jun 10,4373,2079,34,2294
Jun 11,4398,1842,37,2556
Jun 12,4441,1673,38,2768
Jun 13,4449,1585,41,2864
