Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,1,1,0,0
Mar 23,2,2,0,0
Mar 24,7,7,0,0
Mar 25,11,11,0,0
Mar 26,11,11,0,0
Mar 27,11,11,0,0
Mar 28,11,11,0,0
Mar 29,11,11,0,0
Mar 30,12,12,0,0
Mar 31,12,12,0,0
Apr 01,12,12,0,0
Apr 02,12,12,0,0
Apr 03,14,14,0,0
Apr 04,14,14,0,0
Apr 05,14,14,0,0
Apr 06,15,14,0,1
Apr 07,15,14,0,1
Apr 08,15,14,0,1
Apr 09,15,14,0,1
Apr 10,16,11,0,5
Apr 11,16,11,0,5
Apr 12,16,8,0,8
Apr 13,16,8,0,8
Apr 14,16,8,0,8
Apr 15,16,8,0,8
Apr 16,16,8,0,8
Apr 17,16,8,0,8
Apr 18,16,8,0,8
Apr 19,16,8,0,8
Apr 20,16,8,0,8
Apr 21,16,8,0,8
Apr 22,16,7,0,9
Apr 23,16,7,0,9
Apr 24,16,6,0,10
Apr 25,16,6,0,10
Apr 26,16,3,0,13
Apr 27,16,3,0,13
Apr 28,16,3,0,13
Apr 29,16,3,0,13
Apr 30,16,3,0,13
May 01,16,3,0,13
May 02,16,3,0,13
May 03,16,3,0,13
May 04,16,3,0,13
May 05,16,2,0,14
May 06,16,2,0,14
May 07,16,2,0,14
May 08,16,2,0,14
May 09,16,2,0,14
May 10,16,1,0,15
May 11,16,1,0,15
May 12,16,1,0,15
May 13,16,1,0,15
May 14,16,1,0,15
May 15,16,1,0,15
May 16,16,1,0,15
May 17,16,1,0,15
May 18,16,0,0,16
May 19,16,0,0,16
May 20,16,0,0,16
May 21,16,0,0,16
May 22,16,0,0,16
May 23,16,0,0,16
May 24,16,0,0,16
May 25,16,0,0,16
May 26,16,0,0,16
May 27,16,0,0,16
May 28,16,0,0,16
May 29,16,0,0,16
May 30,16,0,0,16
May 31,16,0,0,16
Jun 01,16,0,0,16
Jun 02,18,2,0,16
Jun 03,18,2,0,16
Jun 04,18,2,0,16
Jun 05,18,2,0,16
Jun 06,18,2,0,16
Jun 07,18,2,0,16
Jun 08,18,2,0,16
Jun 09,18,2,0,16
Jun 10,18,2,0,16
Jun 11,18,2,0,16
Jun 12,18,2,0,16
Jun 13,18,2,0,16
Jun 14,18,2,0,16
Jun 15,18,2,0,16
Jun 16,18,2,0,16
Jun 17,18,2,0,16
Jun 18,18,0,0,18
Jun 19,18,0,0,18
Jun 20,18,0,0,18
Jun 21,18,0,0,18
Jun 22,18,0,0,18
Jun 23,18,0,0,18
Jun 24,18,0,0,18
Jun 25,18,0,0,18
Jun 26,18,0,0,18
Jun 27,18,0,0,18
Jun 28,18,0,0,18
Jun 29,18,0,0,18
Jun 30,18,0,0,18
Jul 01,18,0,0,18
Jul 02,18,0,0,18
Jul 03,18,0,0,18
Jul 04,18,0,0,18
Jul 05,18,0,0,18
Jul 06,18,0,0,18
Jul 07,18,0,0,18
Jul 08,18,0,0,18
Jul 09,18,0,0,18
Jul 10,18,0,0,18
Jul 11,18,0,0,18
Jul 12,18,0,0,18
Jul 13,18,0,0,18
Jul 14,18,0,0,18
Jul 15,18,0,0,18
Jul 16,18,0,0,18
Jul 17,18,0,0,18
Jul 18,18,0,0,18
Jul 19,18,0,0,18
Jul 20,18,0,0,18
Jul 21,18,0,0,18
Jul 22,18,0,0,18
Jul 23,18,0,0,18
Jul 24,18,0,0,18
Jul 25,18,0,0,18
Jul 26,18,0,0,18
Jul 27,18,0,0,18
Jul 28,18,0,0,18
Jul 29,18,0,0,18
Jul 30,18,0,0,18
Jul 31,18,0,0,18
Aug 01,18,0,0,18
Aug 02,18,0,0,18
Aug 03,18,0,0,18
Aug 04,18,0,0,18
Aug 05,18,0,0,18
Aug 06,18,0,0,18
Aug 07,18,0,0,18
Aug 08,18,0,0,18
Aug 09,18,0,0,18
Aug 10,18,0,0,18
Aug 11,18,0,0,18
Aug 12,18,0,0,18
Aug 13,18,0,0,18
Aug 14,18,0,0,18
Aug 15,18,0,0,18
Aug 16,18,0,0,18
Aug 17,18,0,0,18
Aug 18,18,0,0,18
Aug 19,18,0,0,18
Aug 20,18,0,0,18
