Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,2,2,0,0
Mar 07,2,2,0,0
Mar 08,5,5,0,0
Mar 09,5,5,0,0
Mar 10,5,5,0,0
Mar 11,5,5,0,0
Mar 12,5,5,0,0
Mar 13,5,5,0,0
Mar 14,11,11,0,0
Mar 15,11,11,0,0
Mar 16,21,20,1,1
Mar 17,21,20,1,1
Mar 18,34,32,2,2
Mar 19,34,32,2,2
Mar 20,72,70,2,2
Mar 21,112,109,3,3
Mar 22,202,199,3,3
Mar 23,245,239,3,6
Mar 24,312,303,6,9
Mar 25,392,379,10,13
Mar 26,488,475,10,13
Mar 27,581,558,20,23
Mar 28,719,688,28,31
Mar 29,859,817,39,42
Mar 30,901,855,42,46
Mar 31,1109,1053,51,56
Apr 01,1284,1218,57,66
Apr 02,1380,1304,60,76
Apr 03,1488,1404,68,84
Apr 04,1578,1484,77,94
Apr 05,1745,1646,82,99
Apr 06,1828,1709,86,119
Apr 07,1956,1822,98,134
Apr 08,2111,1953,108,158
Apr 09,2349,2151,118,198
Apr 10,2620,2396,126,224
Apr 11,2759,2516,135,243
Apr 12,2967,2663,173,304
Apr 13,3167,2838,177,329
