Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,2,2,0,0
Mar 07,2,2,0,0
Mar 08,5,5,0,0
Mar 09,5,5,0,0
Mar 10,5,5,0,0
Mar 11,5,5,0,0
Mar 12,5,5,0,0
Mar 13,5,5,0,0
Mar 14,11,11,0,0
Mar 15,11,11,0,0
Mar 16,21,20,1,1
Mar 17,21,20,1,1
Mar 18,34,32,2,2
Mar 19,34,32,2,2
Mar 20,72,70,2,2
Mar 21,112,109,3,3
Mar 22,202,199,3,3
Mar 23,245,239,3,6
Mar 24,312,303,6,9
Mar 25,392,379,10,13
Mar 26,488,475,10,13
Mar 27,581,558,20,23
Mar 28,719,688,28,31
Mar 29,859,817,39,42
Mar 30,901,855,42,46
Mar 31,1109,1053,51,56
Apr 01,1284,1218,57,66
Apr 02,1380,1304,60,76
Apr 03,1488,1404,68,84
Apr 04,1578,1484,77,94
Apr 05,1745,1646,82,99
Apr 06,1828,1709,86,119
Apr 07,1956,1822,98,134
Apr 08,2111,1953,108,158
Apr 09,2349,2151,118,198
Apr 10,2620,2396,126,224
Apr 11,2759,2516,135,243
Apr 12,2967,2663,173,304
Apr 13,3167,2838,177,329
Apr 14,3286,2941,183,345
Apr 15,3614,3217,189,397
Apr 16,3755,3344,196,411
Apr 17,4126,3658,200,468
Apr 18,4335,3806,217,529
Apr 19,4680,4091,226,589
Apr 20,4964,4313,235,651
Apr 21,5044,4336,245,708
Apr 22,5300,4459,260,841
Apr 23,5543,4697,265,846
Apr 24,5749,4719,267,1030
Apr 25,5926,4831,273,1095
Apr 26,6135,4947,278,1188
Apr 27,6293,5018,282,1275
Apr 28,6416,4965,286,1451
Apr 29,6652,5131,293,1521
Apr 30,6972,5370,301,1602
May 01,7288,5588,313,1700
May 02,7578,5771,326,1807
May 03,7954,6015,333,1939
May 04,8235,6118,346,2117
May 05,8480,6221,354,2259
May 06,8807,6485,362,2322
May 07,9095,6658,373,2437
May 08,9376,6710,380,2666
May 09,9882,6913,385,2969
May 10,10347,7196,388,3151
May 11,10634,7371,393,3263
May 12,10900,7277,402,3623
May 13,11196,7566,409,3630
May 14,11320,7547,422,3773
May 15,11739,7758,424,3981
May 16,12110,7956,428,4154
May 17,12314,6039,428,6275
May 18,12725,5678,434,7047
May 19,13223,6169,441,7054
May 20,13477,5889,446,7588
May 21,13657,5843,448,7814
May 22,13989,5961,456,8028
May 23,14422,6110,458,8312
May 24,14801,6210,458,8591
May 25,15073,6328,460,8745
May 26,15264,6262,468,9002
May 27,15723,6459,474,9264
