Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,1,1,0,0
Mar 01,6,6,0,0
Mar 02,6,6,0,0
Mar 03,7,7,0,0
Mar 04,10,10,0,0
Mar 05,13,13,0,0
Mar 06,13,13,0,0
Mar 07,14,14,0,0
Mar 08,14,14,0,0
Mar 09,15,15,0,0
Mar 10,17,17,0,0
Mar 11,17,17,0,0
Mar 12,17,17,0,0
Mar 13,23,22,1,1
Mar 14,28,26,2,2
Mar 15,37,35,2,2
Mar 16,58,56,2,2
Mar 17,111,109,2,2
Mar 18,168,164,3,4
Mar 19,260,256,3,4
Mar 20,426,416,7,10
Mar 21,532,522,7,10
Mar 22,789,772,14,17
Mar 23,981,960,18,21
Mar 24,1082,1052,27,30
Mar 25,1211,1179,29,32
Mar 26,1403,1366,34,37
Mar 27,1627,1583,41,44
Mar 28,1823,1772,48,51
Mar 29,1924,1863,58,61
Mar 30,1966,1901,62,65
Mar 31,2302,2165,79,137
Apr 01,2758,2602,98,156
Apr 02,3163,2978,120,185
Apr 03,3368,3158,145,210
Apr 04,3465,3193,172,272
Apr 05,3646,3366,180,280
Apr 06,3747,3456,191,291
Apr 07,3995,3635,220,360
Apr 08,4450,4068,242,382
Apr 09,4965,4354,272,611
Apr 10,7161,6496,297,665
Apr 11,7257,6531,315,726
Apr 12,7466,6632,333,834
Apr 13,7529,6577,355,952
Apr 14,7603,6538,369,1065
Apr 15,7858,6690,388,1168
Apr 16,8225,6984,403,1241
Apr 17,8450,7191,421,1259
Apr 18,9022,7558,456,1464
Apr 19,9468,7933,474,1535
Apr 20,10128,8471,507,1657
Apr 21,10398,8671,520,1727
Apr 22,10850,9051,537,1799
Apr 23,11183,9295,560,1888
Apr 24,18778,16836,576,1942
Apr 25,18778,16836,576,1942
Apr 26,18778,16836,576,1942
Apr 27,19299,17079,663,2220
Apr 28,20317,17889,871,2428
Apr 29,20734,18294,883,2440
Apr 30,20993,18535,900,2458
May 01,22395,19419,1063,2976
May 02,23523,20020,1371,3503
May 03,25597,20733,1564,4864
May 04,27940,22938,1569,5002
May 05,27940,22938,1569,5002
May 06,27940,22889,1618,5051
May 07,28818,23731,1654,5087
May 08,28818,23681,1704,5137
May 09,29071,23921,1717,5150
May 10,29509,23949,2127,5560
May 11,29509,23931,2145,5578
May 12,30419,24659,2327,5760
May 13,30486,24719,2334,5767
May 14,30502,24731,2338,5771
May 15,31467,25440,2594,6027
May 16,32763,26642,2688,6121
May 17,33182,27013,2736,6169
May 18,33582,27350,2799,6232
May 19,34151,27855,2839,6296
May 20,34854,28409,2888,6445
May 21,35306,28810,2939,6496
May 22,35828,29215,3056,6613
May 23,36258,29605,3096,6653
May 24,36756,30088,3108,6668
May 25,37355,16149,3203,21206
May 26,37355,16149,3203,21206
May 27,38103,16403,3275,21700
May 28,38471,16733,3313,21738
May 29,38571,16047,3334,22524
May 30,38571,16047,3334,22524
May 31,39098,16148,3358,22950
Jun 01,39994,16777,3394,23217
Jun 02,40414,16957,3438,23457
Jun 03,40966,17461,3486,23505
