Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,3,3,0,0
Mar 24,5,5,0,0
Mar 25,9,9,0,0
Mar 26,13,13,0,0
Mar 27,13,13,0,0
Mar 28,19,19,0,0
Mar 29,24,24,0,0
Mar 30,30,30,0,0
Mar 31,32,31,1,1
Apr 01,33,31,2,2
Apr 02,41,39,2,2
Apr 03,46,43,3,3
Apr 04,56,51,3,5
Apr 05,62,57,3,5
Apr 06,69,60,4,9
Apr 07,78,69,4,9
Apr 08,93,79,5,14
Apr 09,103,83,6,20
Apr 10,117,96,6,21
Apr 11,118,93,6,25
Apr 12,125,98,6,27
Apr 13,137,109,6,28
Apr 14,149,118,6,31
Apr 15,159,123,6,36
Apr 16,164,125,6,39
Apr 17,177,132,7,45
Apr 18,190,140,7,50
Apr 19,201,150,7,51
Apr 20,218,165,7,53
Apr 21,225,170,7,55
Apr 22,237,167,7,70
Apr 23,250,175,8,75
Apr 24,261,181,8,80
Apr 25,274,191,8,83
Apr 26,298,207,8,91
Apr 27,323,226,8,97
Apr 28,345,240,8,105
Apr 29,377,262,9,115
Apr 30,395,266,10,129
May 01,424,290,10,134
May 02,446,294,11,152
May 03,490,325,11,165
May 04,555,362,13,193
May 05,587,373,13,214
May 06,633,399,15,234
May 07,695,435,15,260
May 08,742,469,16,273
May 09,784,491,17,293
May 10,889,579,17,310
May 11,958,615,18,343
May 12,998,629,20,369
May 13,1037,643,20,394
May 14,1112,684,23,428
May 15,1210,771,23,439
May 16,1265,798,26,467
May 17,1338,849,27,489
May 18,1413,909,30,504
May 19,1498,966,30,532
May 20,1571,1003,31,568
May 21,1640,1063,33,577
May 22,1725,1126,33,599
May 23,1819,1216,33,603
May 24,1915,1286,35,629
May 25,1983,1250,35,733
May 26,2042,1219,36,823
May 27,2109,1199,37,910
May 28,2194,1153,39,1041
May 29,2278,1221,42,1057
May 30,2395,1325,44,1070
May 31,2517,1431,46,1086
Jun 01,2582,1473,46,1109
Jun 02,2653,1491,46,1162
Jun 03,2705,1477,49,1228
Jun 04,2781,1522,51,1259
Jun 05,2849,1547,53,1302
Jun 06,2934,1600,53,1334
Jun 07,3015,1657,53,1358
Jun 08,3104,1688,55,1416
Jun 09,3191,1720,58,1471
Jun 10,3274,1772,64,1502
Jun 11,3373,1812,64,1561
Jun 12,3481,1826,68,1655
Jun 13,3603,1793,72,1810
Jun 14,3720,1811,72,1909
