Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,4,4,0,0
Mar 19,6,6,0,0
Mar 20,6,6,0,0
Mar 21,6,6,0,0
Mar 22,6,6,0,0
Mar 23,9,9,0,0
Mar 24,9,9,0,0
Mar 25,9,9,0,0
Mar 26,12,12,0,0
Mar 27,12,12,0,0
Mar 28,12,12,0,0
Mar 29,12,12,0,0
Mar 30,12,12,0,0
Mar 31,15,14,0,1
Apr 01,15,14,0,1
Apr 02,15,14,0,1
Apr 03,16,15,0,1
Apr 04,16,15,0,1
Apr 05,16,15,0,1
Apr 06,16,13,0,3
Apr 07,16,13,0,3
Apr 08,18,15,0,3
Apr 09,18,15,0,3
Apr 10,18,15,0,3
Apr 11,18,15,0,3
Apr 12,21,18,0,3
Apr 13,21,17,0,4
Apr 14,41,37,0,4
Apr 15,51,47,0,4
Apr 16,51,47,0,4
Apr 17,79,75,0,4
Apr 18,79,75,0,4
Apr 19,79,75,0,4
Apr 20,153,146,0,7
Apr 21,209,202,0,7
Apr 22,209,201,1,8
Apr 23,209,201,1,8
Apr 24,214,206,1,8
Apr 25,258,250,1,8
Apr 26,258,249,1,9
Apr 27,258,248,1,10
Apr 28,315,305,1,10
Apr 29,315,305,1,10
Apr 30,315,305,1,10
May 01,315,305,1,10
May 02,315,305,1,10
May 03,315,305,1,10
May 04,315,299,3,16
May 05,315,299,3,16
May 06,439,422,4,17
May 07,439,422,4,17
May 08,439,422,4,17
May 09,439,422,4,17
May 10,439,422,4,17
May 11,439,422,4,17
May 12,439,422,4,17
May 13,522,503,6,19
May 14,583,563,7,20
May 15,594,565,7,29
May 16,594,565,7,29
May 17,594,565,7,29
May 18,719,690,7,29
May 19,825,796,7,29
May 20,890,861,7,29
May 21,903,871,10,32
May 22,960,784,11,176
May 23,960,784,11,176
May 24,960,784,11,176
May 25,1043,866,12,177
May 26,1043,866,12,177
May 27,1043,866,12,177
May 28,1043,866,12,177
May 29,1306,1094,12,212
May 30,1306,1094,12,212
May 31,1306,1094,12,212
Jun 01,1306,1094,12,212
Jun 02,1306,1094,12,212
Jun 03,1306,1094,12,212
Jun 04,1306,1094,12,212
Jun 05,1306,1094,12,212
Jun 06,1306,1094,12,212
Jun 07,1306,1094,12,212
Jun 08,1306,1094,12,212
Jun 09,1306,1094,12,212
Jun 10,1306,1094,12,212
Jun 11,1306,1094,12,212
