Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,4,4,0,0
Mar 26,6,6,0,0
Mar 27,6,6,0,0
Mar 28,6,6,0,0
Mar 29,12,12,0,0
Mar 30,15,15,0,0
Mar 31,15,15,0,0
Apr 01,15,15,0,0
Apr 02,22,22,0,0
Apr 03,22,22,0,0
Apr 04,29,29,0,0
Apr 05,29,29,0,0
Apr 06,31,31,0,0
Apr 07,31,31,0,0
Apr 08,33,33,0,0
Apr 09,33,33,0,0
Apr 10,34,34,0,0
Apr 11,34,34,0,0
Apr 12,34,34,0,0
Apr 13,34,34,0,0
Apr 14,35,35,0,0
Apr 15,35,35,0,0
Apr 16,35,35,0,0
Apr 17,35,35,0,0
Apr 18,39,36,0,3
Apr 19,39,36,0,3
Apr 20,39,36,0,3
Apr 21,39,33,0,6
Apr 22,39,33,0,6
Apr 23,39,33,0,6
Apr 24,39,28,0,11
Apr 25,39,26,0,13
Apr 26,39,26,0,13
Apr 27,39,26,0,13
Apr 28,39,20,0,19
Apr 29,39,20,0,19
Apr 30,39,13,0,26
May 01,39,13,0,26
May 02,39,13,0,26
May 03,39,13,0,26
May 04,39,13,0,26
May 05,39,9,0,30
May 06,39,9,0,30
May 07,39,9,0,30
May 08,39,2,0,37
May 09,39,2,0,37
May 10,39,2,0,37
May 11,39,1,0,38
May 12,39,1,0,38
May 13,39,1,0,38
May 14,39,1,0,38
May 15,39,0,0,39
May 16,39,0,0,39
May 17,39,0,0,39
May 18,39,0,0,39
May 19,39,0,0,39
May 20,39,0,0,39
May 21,39,0,0,39
May 22,39,0,0,39
May 23,39,0,0,39
May 24,39,0,0,39
May 25,39,0,0,39
May 26,39,0,0,39
May 27,39,0,0,39
May 28,39,0,0,39
May 29,39,0,0,39
May 30,39,0,0,39
May 31,39,0,0,39
Jun 01,39,0,0,39
Jun 02,39,0,0,39
Jun 03,39,0,0,39
Jun 04,39,0,0,39
Jun 05,39,0,0,39
Jun 06,39,0,0,39
Jun 07,39,0,0,39
Jun 08,39,0,0,39
Jun 09,39,0,0,39
Jun 10,41,2,0,39
Jun 11,41,2,0,39
Jun 12,41,2,0,39
Jun 13,65,26,0,39
Jun 14,96,57,0,39
Jun 15,109,70,0,39
Jun 16,121,82,0,39
Jun 17,131,92,0,39
Jun 18,142,103,0,39
Jun 19,142,103,0,39
Jun 20,143,104,0,39
Jun 21,143,104,0,39
Jun 22,143,104,0,39
Jun 23,143,104,0,39
Jun 24,144,105,0,39
Jun 25,144,105,0,39
Jun 26,167,114,0,53
Jun 27,191,138,0,53
Jun 28,191,138,0,53
Jun 29,191,138,0,53
Jun 30,203,150,0,53
Jul 01,203,147,0,56
Jul 02,215,159,0,56
Jul 03,215,159,0,56
Jul 04,215,159,0,56
Jul 05,215,159,0,56
Jul 06,215,159,0,56
Jul 07,215,159,0,56
Jul 08,215,159,0,56
Jul 09,232,125,0,107
Jul 10,232,125,0,107
Jul 11,232,125,0,107
Jul 12,232,125,0,107
Jul 13,232,125,0,107
Jul 14,232,125,0,107
Jul 15,232,125,0,107
Jul 16,251,102,0,149
Jul 17,251,96,0,155
Jul 18,251,96,0,155
Jul 19,251,96,0,155
Jul 20,251,96,0,155
Jul 21,251,96,0,155
Jul 22,251,96,0,155
Jul 23,261,72,0,189
Jul 24,261,72,0,189
Jul 25,263,74,0,189
Jul 26,263,74,0,189
Jul 27,265,74,0,191
Jul 28,265,74,0,191
Jul 29,265,74,0,191
Jul 30,279,54,0,225
Jul 31,279,54,0,225
Aug 01,279,54,0,225
Aug 02,279,54,0,225
Aug 03,282,57,0,225
Aug 04,282,57,0,225
Aug 05,282,57,0,225
Aug 06,282,57,0,225
Aug 07,285,40,0,245
Aug 08,285,40,0,245
Aug 09,285,40,0,245
Aug 10,285,40,0,245
Aug 11,285,37,0,248
Aug 12,285,37,0,248
Aug 13,285,37,0,248
Aug 14,285,37,0,248
Aug 15,285,37,0,248
Aug 16,285,37,0,248
Aug 17,285,37,0,248
Aug 18,304,43,0,261
Aug 19,304,43,0,261
Aug 20,306,32,0,274
