Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,1,1,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,2,2,0,0
Mar 04,2,2,0,0
Mar 05,5,5,0,0
Mar 06,10,10,0,0
Mar 07,10,10,0,0
Mar 08,10,10,0,0
Mar 09,10,10,0,0
Mar 10,13,13,0,0
Mar 11,16,16,0,0
Mar 12,27,27,0,0
Mar 13,79,79,0,0
Mar 14,115,115,0,0
Mar 15,171,170,0,1
Mar 16,205,204,0,1
Mar 17,225,224,0,1
Mar 18,258,257,0,1
Mar 19,267,266,0,1
Mar 20,283,282,0,1
Mar 21,306,304,0,2
Mar 22,326,322,0,4
Mar 23,352,348,0,4
Mar 24,369,362,0,7
Mar 25,404,395,1,9
Mar 26,538,529,1,9
Mar 27,575,563,1,12
Mar 28,645,624,1,21
Mar 29,679,656,3,23
Mar 30,715,692,3,23
Mar 31,745,715,4,30
Apr 01,779,741,5,38
Apr 02,858,802,11,56
Apr 03,961,901,12,60
Apr 04,1039,967,13,72
Apr 05,1097,1020,15,77
Apr 06,1108,1027,19,81
Apr 07,1149,1059,21,90
Apr 08,1185,1089,24,96
Apr 09,1207,1100,24,107
Apr 10,1258,1141,24,117
Apr 11,1304,1187,24,117
Apr 12,1309,1186,25,123
Apr 13,1332,1202,28,130
