Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,1,1,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,2,2,0,0
Mar 04,2,2,0,0
Mar 05,5,5,0,0
Mar 06,10,10,0,0
Mar 07,10,10,0,0
Mar 08,10,10,0,0
Mar 09,10,10,0,0
Mar 10,13,13,0,0
Mar 11,16,16,0,0
Mar 12,27,27,0,0
Mar 13,79,79,0,0
Mar 14,115,115,0,0
Mar 15,171,170,0,1
Mar 16,205,204,0,1
Mar 17,225,224,0,1
Mar 18,258,257,0,1
Mar 19,267,266,0,1
Mar 20,283,282,0,1
Mar 21,306,304,0,2
Mar 22,326,322,0,4
Mar 23,352,348,0,4
Mar 24,369,362,0,7
Mar 25,404,395,1,9
Mar 26,538,529,1,9
Mar 27,575,563,1,12
Mar 28,645,624,1,21
Mar 29,679,656,3,23
Mar 30,715,692,3,23
Mar 31,745,715,4,30
Apr 01,779,741,5,38
Apr 02,858,802,11,56
Apr 03,961,901,12,60
Apr 04,1039,967,13,72
Apr 05,1097,1020,15,77
Apr 06,1108,1027,19,81
Apr 07,1149,1059,21,90
Apr 08,1185,1089,24,96
Apr 09,1207,1100,24,107
Apr 10,1258,1141,24,117
Apr 11,1304,1187,24,117
Apr 12,1309,1186,25,123
Apr 13,1332,1202,28,130
Apr 14,1373,1227,31,146
Apr 15,1400,1248,35,152
Apr 16,1434,1265,36,169
Apr 17,1459,1276,38,183
Apr 18,1512,1312,38,200
Apr 19,1528,1324,40,204
Apr 20,1535,1330,40,205
Apr 21,1552,1340,43,212
Apr 22,1559,1331,44,228
Apr 23,1592,1355,45,237
Apr 24,1605,1353,46,252
Apr 25,1635,1361,46,274
Apr 26,1643,1361,49,282
Apr 27,1647,1364,50,283
Apr 28,1660,1370,50,290
Apr 29,1666,1380,50,286
Apr 30,1689,1388,52,301
May 01,1694,1389,52,305
May 02,1699,1390,53,309
May 03,1700,1386,55,314
May 04,1703,1389,55,314
May 05,1711,1395,55,316
May 06,1713,1394,55,319
May 07,1720,1391,56,329
May 08,1725,965,56,760
May 09,1733,926,60,807
May 10,1739,929,60,810
May 11,1741,929,61,812
May 12,1746,908,61,838
May 13,1751,913,61,838
May 14,1758,787,62,971
May 15,1766,780,63,986
May 16,1770,773,63,997
May 17,1774,773,63,1001
May 18,1784,783,63,1001
May 19,1791,790,63,1001
May 20,1794,775,63,1019
May 21,1800,249,63,1551
May 22,1807,236,63,1571
May 23,1821,232,63,1589
May 24,1823,228,63,1595
May 25,1824,223,63,1601
May 26,1834,219,63,1615
May 27,1840,216,63,1624
May 28,1851,214,63,1637
May 29,1859,186,63,1673
May 30,1865,180,63,1685
May 31,1869,182,63,1687
Jun 01,1870,182,63,1688
Jun 02,1870,175,63,1695
Jun 03,1880,167,63,1713
Jun 04,1890,164,63,1726
Jun 05,1910,180,63,1730
Jun 06,1931,193,63,1738
Jun 07,1939,195,63,1744
Jun 08,1940,194,63,1746
Jun 09,1947,200,63,1747
Jun 10,1958,205,63,1753
Jun 11,1965,205,63,1760
