Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,4,4,0,0
Mar 23,4,4,0,0
Mar 24,4,4,0,0
Mar 25,4,4,0,0
Mar 26,6,6,0,0
Mar 27,9,9,0,0
Mar 28,9,9,0,0
Mar 29,9,9,0,0
Mar 30,9,9,0,0
Mar 31,9,9,0,0
Apr 01,9,9,0,0
Apr 02,9,9,0,0
Apr 03,9,9,0,0
Apr 04,9,9,0,0
Apr 05,9,9,0,0
Apr 06,10,6,0,4
Apr 07,10,6,0,4
Apr 08,12,5,0,7
Apr 09,12,5,0,7
Apr 10,12,5,0,7
Apr 11,12,5,0,7
Apr 12,14,7,0,7
Apr 13,15,8,0,7
Apr 14,15,7,0,8
Apr 15,15,7,0,8
Apr 16,16,7,1,9
Apr 17,16,7,1,9
Apr 18,22,13,1,9
Apr 19,22,13,1,9
Apr 20,24,15,1,9
Apr 21,31,22,1,9
Apr 22,31,22,1,9
Apr 23,31,22,1,9
Apr 24,36,25,1,11
Apr 25,56,45,1,11
Apr 26,59,48,1,11
Apr 27,65,54,1,11
Apr 28,71,60,1,11
