Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,4,4,0,0
Mar 23,4,4,0,0
Mar 24,4,4,0,0
Mar 25,4,4,0,0
Mar 26,6,6,0,0
Mar 27,9,9,0,0
Mar 28,9,9,0,0
Mar 29,9,9,0,0
Mar 30,9,9,0,0
Mar 31,9,9,0,0
Apr 01,9,9,0,0
Apr 02,9,9,0,0
Apr 03,9,9,0,0
Apr 04,9,9,0,0
Apr 05,9,9,0,0
Apr 06,10,6,0,4
Apr 07,10,6,0,4
Apr 08,12,5,0,7
Apr 09,12,5,0,7
Apr 10,12,5,0,7
Apr 11,12,5,0,7
Apr 12,14,7,0,7
Apr 13,15,8,0,7
Apr 14,15,7,0,8
Apr 15,15,7,0,8
Apr 16,16,7,1,9
Apr 17,16,7,1,9
Apr 18,22,13,1,9
Apr 19,22,13,1,9
Apr 20,24,15,1,9
Apr 21,31,22,1,9
Apr 22,31,22,1,9
Apr 23,31,22,1,9
Apr 24,36,25,1,11
Apr 25,56,45,1,11
Apr 26,59,48,1,11
Apr 27,65,54,1,11
Apr 28,71,60,1,11
Apr 29,91,80,1,11
Apr 30,100,87,1,13
May 01,106,93,1,13
May 02,108,95,1,13
May 03,112,99,1,13
May 04,116,103,1,13
May 05,119,106,1,13
May 06,123,109,2,14
May 07,153,139,2,14
May 08,159,145,2,14
May 09,163,147,2,16
May 10,172,143,2,29
May 11,175,145,2,30
May 12,184,154,2,30
May 13,187,137,2,50
May 14,187,134,2,53
May 15,190,122,2,68
May 16,202,128,2,74
May 17,203,128,2,75
May 18,205,125,2,80
May 19,208,119,2,89
May 20,217,118,2,99
May 21,220,106,2,114
May 22,225,104,2,121
May 23,238,117,2,121
May 24,250,92,2,158
May 25,256,96,2,160
May 26,261,95,2,166
May 27,272,102,2,170
May 28,279,109,2,170
May 29,279,109,2,170
May 30,283,113,2,170
May 31,285,94,2,191
Jun 01,293,96,3,197
Jun 02,294,93,3,201
Jun 03,295,91,3,204
Jun 04,300,96,3,204
Jun 05,305,81,3,224
Jun 06,322,95,3,227
Jun 07,333,105,3,228
Jun 08,340,108,3,232
Jun 09,371,136,3,235
Jun 10,398,159,3,239
Jun 11,449,208,3,241
Jun 12,472,223,3,249
Jun 13,486,236,3,250
Jun 14,490,237,4,253
Jun 15,506,253,4,253
Jun 16,520,257,4,263
Jun 17,563,297,4,266
Jun 18,586,315,4,271
Jun 19,623,343,4,280
Jun 20,627,337,5,290
Jun 21,635,345,5,290
Jun 22,643,346,6,297
Jun 23,674,348,7,326
Jun 24,690,352,7,338
Jun 25,706,351,8,355
Jun 26,728,353,8,375
Jun 27,745,367,8,378
Jun 28,781,398,11,383
Jun 29,795,404,11,391
Jun 30,812,393,11,419
Jul 01,840,411,11,429
Jul 02,873,410,11,463
Jul 03,909,381,13,528
Jul 04,954,406,13,548
Jul 05,988,428,13,560
Jul 06,1011,434,13,577
Jul 07,1056,472,14,584
Jul 08,1138,536,14,602
Jul 09,1213,587,17,626
Jul 10,1257,606,18,651
Jul 11,1311,637,18,674
Jul 12,1351,663,20,688
Jul 13,1389,681,20,708
Jul 14,1434,719,20,715
Jul 15,1489,745,20,744
Jul 16,1552,795,21,757
Jul 17,1619,829,21,790
Jul 18,1729,920,21,809
Jul 19,1793,950,21,843
Jul 20,1826,953,23,873
Jul 21,1894,1015,24,879
Jul 22,1938,1037,25,901
Jul 23,2021,1111,28,910
Jul 24,2073,1116,28,957
Jul 25,2142,1174,28,968
Jul 26,2207,1189,32,1018
Jul 27,2316,1257,34,1059
Jul 28,2404,1340,39,1064
Jul 29,2551,1441,40,1110
Jul 30,2577,1403,40,1174
Jul 31,2648,1393,41,1255
Aug 01,2706,1449,43,1257
Aug 02,2775,1518,43,1257
Aug 03,2838,1540,45,1298
Aug 04,2856,1549,49,1307
Aug 05,2909,1471,53,1438
Aug 06,2968,1437,55,1531
Aug 07,3036,1504,56,1532
Aug 08,3128,1507,56,1621
Aug 09,3236,1571,58,1665
Aug 10,3309,1614,61,1695
Aug 11,3410,1627,63,1783
Aug 12,3525,1552,63,1973
Aug 13,3599,1543,65,2056
Aug 14,3670,1611,68,2059
Aug 15,3745,1408,69,2337
Aug 16,3839,1501,70,2338
Aug 17,3894,1450,73,2444
Aug 18,3989,1326,76,2663
Aug 19,4058,1368,79,2690
Aug 20,4110,1386,81,2724
