Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,4,4,0,0
Mar 16,5,5,0,0
Mar 17,6,6,0,0
Mar 18,6,6,0,0
Mar 19,7,7,0,0
Mar 20,9,9,0,0
Mar 21,9,9,0,0
Mar 22,11,11,0,0
Mar 23,11,11,0,0
Mar 24,12,12,0,0
Mar 25,12,12,0,0
Mar 26,12,12,0,0
Mar 27,16,16,0,0
Mar 28,16,15,0,1
Mar 29,21,20,0,1
Mar 30,23,19,0,4
Mar 31,26,24,0,2
Apr 01,29,27,0,2
Apr 02,29,26,0,3
Apr 03,35,32,0,3
Apr 04,38,34,0,4
Apr 05,43,37,2,6
Apr 06,44,38,2,6
Apr 07,52,46,2,6
Apr 08,55,49,2,6
Apr 09,56,50,2,6
Apr 10,65,58,3,7
Apr 11,69,56,3,13
Apr 12,71,58,3,13
Apr 13,74,57,3,17
Apr 14,82,65,3,17
Apr 15,85,67,3,18
Apr 16,92,74,3,18
Apr 17,96,78,3,18
Apr 18,105,86,3,19
Apr 19,108,89,3,19
Apr 20,111,92,3,19
Apr 21,114,95,3,19
Apr 22,116,92,3,24
Apr 23,116,92,3,24
Apr 24,117,89,3,28
Apr 25,122,90,3,32
Apr 26,123,79,3,44
Apr 27,124,71,3,53
Apr 28,126,73,3,53
Apr 29,130,69,3,61
Apr 30,131,69,3,62
May 01,133,64,3,69
May 02,133,61,3,72
May 03,135,57,3,78
May 04,140,62,3,78
May 05,145,50,4,95
May 06,162,65,4,97
May 07,191,94,4,97
May 08,194,95,4,99
May 09,210,108,5,102
May 10,239,135,5,104
May 11,250,140,5,110
May 12,261,150,5,111
May 13,263,150,5,113
May 14,272,159,5,113
May 15,287,170,5,117
May 16,306,188,5,118
May 17,317,199,5,118
May 18,352,231,5,121
May 19,365,240,5,125
May 20,389,262,5,127
May 21,399,271,5,128
May 22,433,300,5,133
May 23,494,338,5,156
May 24,582,425,5,157
May 25,655,491,5,164
May 26,701,528,6,173
May 27,731,544,6,187
May 28,831,633,7,198
May 29,968,763,8,205
May 30,1063,847,8,216
May 31,1172,952,11,220
Jun 01,1257,1028,12,229
Jun 02,1344,1099,14,245
Jun 03,1486,1223,17,263
Jun 04,1636,1368,18,268
Jun 05,1805,1524,19,281
Jun 06,1934,1633,20,301
Jun 07,2020,1649,27,371
Jun 08,2156,1768,27,388
Jun 09,2336,1925,32,411
Jun 10,2506,2070,35,436
Jun 11,2670,2196,40,474
Jun 12,2915,2417,47,498
Jun 13,3166,2616,55,550
Jun 14,3345,2743,57,602
Jun 15,3521,2841,60,680
Jun 16,3630,2831,61,799
Jun 17,3759,2847,63,912
