Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,2,2,0,0
Mar 07,2,2,0,0
Mar 08,2,2,0,0
Mar 09,2,2,0,0
Mar 10,2,2,0,0
Mar 11,2,2,0,0
Mar 12,2,2,0,0
Mar 13,3,3,0,0
Mar 14,10,10,0,0
Mar 15,11,11,0,0
Mar 16,18,18,0,0
Mar 17,47,47,0,0
Mar 18,58,57,0,1
Mar 19,72,71,0,1
Mar 20,80,77,0,3
Mar 21,92,89,0,3
Mar 22,115,112,0,3
Mar 23,118,95,0,23
Mar 24,122,89,0,33
Mar 25,132,94,0,38
Mar 26,140,93,0,47
Mar 27,144,90,0,54
Mar 28,155,101,0,54
Mar 29,159,89,0,70
Mar 30,168,98,0,70
Mar 31,169,95,0,74
Apr 01,173,98,0,75
Apr 02,177,96,0,81
Apr 03,179,88,0,91
Apr 04,181,88,0,93
Apr 05,181,82,0,99
Apr 06,183,76,0,107
Apr 07,184,64,0,120
Apr 08,184,53,0,131
Apr 09,184,48,0,136
Apr 10,184,39,0,145
Apr 11,184,39,0,145
Apr 12,184,27,0,157
Apr 13,184,27,0,157
Apr 14,184,21,0,163
Apr 15,184,18,0,166
Apr 16,184,15,0,169
Apr 17,184,13,0,171
Apr 18,184,11,0,173
Apr 19,185,9,0,176
Apr 20,185,9,0,176
Apr 21,185,7,0,178
Apr 22,185,7,0,178
Apr 23,187,9,0,178
Apr 24,187,9,0,178
Apr 25,187,9,0,178
Apr 26,187,9,0,178
Apr 27,187,9,0,178
Apr 28,187,6,0,181
Apr 29,187,6,0,181
Apr 30,187,3,0,184
May 01,187,3,0,184
May 02,187,3,0,184
May 03,187,2,0,185
May 04,187,2,0,185
May 05,187,2,0,185
May 06,187,2,0,185
May 07,187,2,0,185
May 08,187,0,0,187
May 09,187,0,0,187
May 10,187,0,0,187
May 11,187,0,0,187
May 12,187,0,0,187
May 13,187,0,0,187
May 14,187,0,0,187
May 15,187,0,0,187
May 16,187,0,0,187
May 17,187,0,0,187
May 18,187,0,0,187
May 19,187,0,0,187
May 20,187,0,0,187
May 21,187,0,0,187
May 22,187,0,0,187
May 23,187,0,0,187
May 24,187,0,0,187
May 25,187,0,0,187
May 26,187,0,0,187
May 27,187,0,0,187
May 28,187,0,0,187
May 29,187,0,0,187
May 30,187,0,0,187
May 31,187,0,0,187
Jun 01,187,0,0,187
Jun 02,187,0,0,187
Jun 03,187,0,0,187
Jun 04,187,0,0,187
Jun 05,187,0,0,187
Jun 06,187,0,0,187
Jun 07,187,0,0,187
Jun 08,187,0,0,187
Jun 09,187,0,0,187
Jun 10,187,0,0,187
Jun 11,187,0,0,187
