Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,0,0,0,0
Apr 03,1,1,0,0
Apr 04,1,1,0,0
Apr 05,2,2,0,0
Apr 06,2,2,0,0
Apr 07,2,2,0,0
Apr 08,5,4,0,1
Apr 09,5,4,0,1
Apr 10,5,4,0,1
Apr 11,5,4,0,1
Apr 12,5,4,0,1
Apr 13,5,4,0,1
Apr 14,11,10,0,1
Apr 15,11,10,0,1
Apr 16,11,10,0,1
Apr 17,11,10,0,1
Apr 18,11,8,0,3
Apr 19,11,8,0,3
Apr 20,11,8,0,3
Apr 21,11,8,0,3
Apr 22,11,8,0,3
Apr 23,12,1,0,11
Apr 24,12,1,0,11
Apr 25,13,2,0,11
Apr 26,13,2,0,11
Apr 27,13,2,0,11
Apr 28,13,2,0,11
Apr 29,13,2,0,11
Apr 30,13,2,0,11
May 01,13,0,0,13
May 02,13,0,0,13
May 03,13,0,0,13
May 04,13,0,0,13
May 05,13,0,0,13
May 06,13,0,0,13
May 07,13,0,0,13
May 08,13,0,0,13
May 09,13,0,0,13
May 10,13,0,0,13
May 11,13,0,0,13
May 12,13,0,0,13
May 13,13,0,0,13
May 14,13,0,0,13
May 15,13,0,0,13
May 16,13,0,0,13
May 17,13,0,0,13
May 18,13,0,0,13
May 19,13,0,0,13
May 20,13,0,0,13
May 21,13,0,0,13
May 22,13,0,0,13
May 23,13,0,0,13
May 24,13,0,0,13
May 25,13,0,0,13
May 26,13,0,0,13
May 27,13,0,0,13
May 28,13,0,0,13
May 29,13,0,0,13
May 30,13,0,0,13
May 31,13,0,0,13
Jun 01,13,0,0,13
Jun 02,13,0,0,13
Jun 03,13,0,0,13
Jun 04,13,0,0,13
Jun 05,13,0,0,13
Jun 06,13,0,0,13
Jun 07,13,0,0,13
Jun 08,13,0,0,13
Jun 09,13,0,0,13
Jun 10,13,0,0,13
Jun 11,13,0,0,13
Jun 12,13,0,0,13
Jun 13,13,0,0,13
Jun 14,13,0,0,13
Jun 15,13,0,0,13
Jun 16,13,0,0,13
Jun 17,13,0,0,13
Jun 18,13,0,0,13
Jun 19,13,0,0,13
Jun 20,13,0,0,13
Jun 21,13,0,0,13
Jun 22,13,0,0,13
Jun 23,13,0,0,13
Jun 24,13,0,0,13
Jun 25,13,0,0,13
Jun 26,13,0,0,13
Jun 27,13,0,0,13
Jun 28,13,0,0,13
Jun 29,13,0,0,13
Jun 30,13,0,0,13
Jul 01,13,0,0,13
Jul 02,13,0,0,13
Jul 03,13,0,0,13
Jul 04,13,0,0,13
Jul 05,13,0,0,13
Jul 06,13,0,0,13
Jul 07,13,0,0,13
Jul 08,13,0,0,13
Jul 09,13,0,0,13
Jul 10,13,0,0,13
Jul 11,13,0,0,13
Jul 12,13,0,0,13
Jul 13,13,0,0,13
Jul 14,13,0,0,13
Jul 15,13,0,0,13
Jul 16,13,0,0,13
Jul 17,13,0,0,13
Jul 18,13,0,0,13
Jul 19,13,0,0,13
Jul 20,13,0,0,13
Jul 21,13,0,0,13
Jul 22,13,0,0,13
Jul 23,13,0,0,13
Jul 24,13,0,0,13
Jul 25,13,0,0,13
Jul 26,13,0,0,13
Jul 27,13,0,0,13
Jul 28,13,0,0,13
Jul 29,13,0,0,13
Jul 30,13,0,0,13
Jul 31,13,0,0,13
Aug 01,13,0,0,13
Aug 02,13,0,0,13
Aug 03,13,0,0,13
Aug 04,13,0,0,13
Aug 05,13,0,0,13
Aug 06,13,0,0,13
Aug 07,13,0,0,13
Aug 08,13,0,0,13
Aug 09,13,0,0,13
Aug 10,13,0,0,13
Aug 11,13,0,0,13
Aug 12,13,0,0,13
Aug 13,13,0,0,13
Aug 14,13,0,0,13
Aug 15,13,0,0,13
Aug 16,13,0,0,13
Aug 17,13,0,0,13
Aug 18,13,0,0,13
Aug 19,13,0,0,13
Aug 20,13,0,0,13
